strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
aLASAx,Plethodon kisatchie,Louisiana Slimy Salamander,59346,Plethodon kisatchie,Louisiana Slimy Salamander,LC,unknown,match,match,matchmatch
aLBTRx,Smilisca fodiens,Lowland Burrowing Treefrog,55907,Smilisca fodiens,Lowland Burrowing Treefrog,LC,stable,match,match,matchmatch
aLESIx,Siren intermedia,Lesser Siren,59491,Siren intermedia,Lesser Siren,LC,unknown,match,match,matchmatch
aLGFRx,Pseudacris ocularis,Little Grass Frog,55895,Pseudacris ocularis,Little Grass Frog,LC,stable,match,match,matchmatch
aLISAx,Hydromantes brunus,Limestone Salamander,10304,Hydromantes brunus,Limestone Salamander,VU,unknown,match,match,matchmatch
aLMSAx,Plethodon larselli,Larch Mountain Salamander,17625,Plethodon larselli,Larch Mountain Salamander,NT,stable,match,match,matchmatch
aLSSAx,Batrachoseps minor,Lesser Slender Salamander,59129,Batrachoseps minor,Lesser Slender Salamander,DD,unknown,match,match,matchmatch
aLTOPx,Ambystoma macrodactylum,Long-toed Salamander,59063,Ambystoma macrodactylum,Long-toed Salamander,LC,stable,match,match,matchmatch
aMASAx,Ambystoma opacum,Marbled Salamander,59065,Ambystoma opacum,Marbled Salamander,LC,stable,match,match,matchmatch
aMBSAx,Ambystoma mabeei,Mabee's Salamander,59062,Ambystoma mabeei,Mabee's Salamander,LC,decreasing,match,match,matchmatch
aMCFRx,Pseudacris brachyphona,Mountain Chorus Frog,55888,Pseudacris brachyphona,Mountain Chorus Frog,LC,unknown,match,match,matchmatch
aMIFRx,Lithobates septentrionalis,Mink Frog,58713,Lithobates septentrionalis,Mink Frog,LC,stable,match,match,matchmatch
aMLSAx,Stereochilus marginatus,Many-lined Salamander,59406,Stereochilus marginatus,Many-lined Salamander,LC,unknown,match,match,matchmatch
aMLYSx,Hydromantes platycephalus,Mount Lyell Salamander,59286,Hydromantes platycephalus,Mount Lyell Salamander,LC,stable,match,match,matchmatch
aMOSAx,Ambystoma talpoideum,Mole Salamander,59069,Ambystoma talpoideum,Mole Salamander,LC,stable,match,match,matchmatch
aMRSAx,Eurycea multiplicata,Many-ribbed Salamander,59270,Eurycea multiplicata,Many-ribbed Salamander,LC,stable,match,match,matchmatch
aMUDPx,Necturus maculosus,Mudpuppy,59433,Necturus maculosus,Mudpuppy,LC,stable,match,match,matchmatch
aMUSAx,Pseudotriton montanus,Mud Salamander,59403,Pseudotriton montanus,Mud Salamander,LC,unknown,match,match,matchmatch
aNCFRx,Acris crepitans,Northern Cricket Frog,55286,Acris crepitans,Northern Cricket Frog,LC,stable,match,match,matchmatch
aNGCSx,Plethodon montanus,Northern Gray-cheeked Salamander,59349,Plethodon montanus,Northern Gray-cheeked Salamander,LC,stable,match,match,matchmatch
aNJFRx,Pseudacris kalmi,New Jersey Chorus Frog,136134,Pseudacris kalmi,New Jersey Chorus Frog,LC,stable,match,match,matchmatch
aNLFRx,Lithobates pipiens,Northern Leopard Frog,58695,Lithobates pipiens,Northern Leopard Frog,LC,decreasing,match,match,matchmatch
aNOSAx,Ambystoma gracile,Northwestern Salamander,59057,Ambystoma gracile,Northwestern Salamander,LC,stable,match,match,matchmatch
