strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
mMOCOx,Sylvilagus nuttallii,Mountain Cottontail,41300,Sylvilagus nuttallii,Mountain Cottontail,LC,unknown,match,match,matchmatch
mMOGOx,Oreamnos americanus,Mountain Goat,42680,Oreamnos americanus,Mountain Goat,LC,stable,match,match,matchmatch
mMOSQx,Xerospermophilus mohavensis,Mohave Ground Squirrel,20474,Xerospermophilus mohavensis,Mohave Ground Squirrel,NT,decreasing,match,match,matchmatch
mMPGOx,Thomomys monticola,Mountain Pocket Gopher,42596,Thomomys monticola,Mountain Pocket Gopher,LC,stable,match,match,matchmatch
mMRSHx,Sorex bendirii,Marsh Shrew,41389,Sorex bendirii,Marsh Shrew,LC,unknown,match,match,matchmatch
mMUDEx,Odocoileus hemionus,Mule Deer,42393,Odocoileus hemionus,Mule Deer,LC,stable,match,match,matchmatch
mNADEx,Peromyscus maniculatus,North American Deermouse,16672,Peromyscus maniculatus,North American Deermouse,LC,stable,match,match,matchmatch
mNALSx,Cryptotis parva,North American Least Shrew,41377,Cryptotis parva,North American Least Shrew,LC,stable,match,match,matchmatch
mNAROx,Lontra canadensis,North American River Otter,12302,Lontra canadensis,North American River Otter,LC,stable,match,match,matchmatch
mNASQx,Ammospermophilus nelsoni,Nelson's Antelope Squirrel,1149,Ammospermophilus nelsoni,Nelson's Antelope Squirrel,EN,decreasing,match,match,matchmatch
mNBARx,Dasypus novemcinctus,Nine-banded Armadillo,6290,Dasypus novemcinctus,Nine-banded Armadillo,LC,stable,match,match,matchmatch
mNBDEx,Peromyscus fraterculus,Northern Baja Deermouse,136412,Peromyscus fraterculus,Northern Baja Deermouse,LC,unknown,match,match,matchmatch
mNESEx,Mirounga angustirostris,Northern Elephant Seal,13581,Mirounga angustirostris,Northern Elephant Seal,LC,increasing,match,match,matchmatch
mNFKRx,Dipodomys venustus,Narrow-faced Kangaroo Rat,42605,Dipodomys venustus,Narrow-faced Kangaroo Rat,LC,decreasing,match,match,matchmatch
mNFSEx,Callorhinus ursinus,Northern Fur Seal,3590,Callorhinus ursinus,Northern Fur Seal,VU,decreasing,match,match,matchmatch
mNGCOx,Sylvilagus transitionalis,New England Cottontail,21212,Sylvilagus transitionalis,New England Cottontail,VU,decreasing,match,match,matchmatch
mNGMOx,Onychomys leucogaster,Northern Grasshopper Mouse,15338,Onychomys leucogaster,Northern Grasshopper Mouse,LC,stable,match,match,matchmatch
mNMSHx,Sorex neomexicanus,New Mexico Shrew,136608,Sorex neomexicanus,New Mexico Shrew,DD,unknown,match,match,matchmatch
mNODEx,Peromyscus keeni,Northwestern Deermouse,135164,Peromyscus keeni,Northwestern Deermouse,LC,stable,match,match,matchmatch
mNOMYx,Myotis septentrionalis,Northern Myotis,14201,Myotis septentrionalis,Northern Myotis,NT,decreasing,match,match,matchmatch
mNOSSx,Blarina brevicauda,Northern Short-tailed Shrew,41451,Blarina brevicauda,Northern Short-tailed Shrew,LC,stable,match,match,matchmatch
mNPMOx,Chaetodipus nelsoni,Nelson's Pocket Mouse,4335,Chaetodipus nelsoni,Nelson's Pocket Mouse,LC,stable,match,match,matchmatch
mNPYMx,Baiomys taylori,Northern Pygmy Mouse,2466,Baiomys taylori,Northern Pygmy Mouse,LC,stable,match,match,matchmatch
mNYBAx,Lasiurus intermedius,Northern Yellow Bat,11352,Lasiurus intermedius,Northern Yellow Bat,LC,unknown,match,match,matchmatch
mOBPMx,Perognathus fasciatus,Olive-backed Pocket Mouse,42608,Perognathus fasciatus,Olive-backed Pocket Mouse,LC,stable,match,match,matchmatch
mOCELx,Leopardus pardalis,Ocelot,11509,Leopardus pardalis,Ocelot,LC,decreasing,match,match,matchmatch
mOKRAx,Dipodomys ordii,Ord's Kangaroo Rat,6691,Dipodomys ordii,Ord's Kangaroo Rat,LC,stable,match,match,matchmatch
mOLMAx,Marmota olympus,Olympic Marmot,42459,Marmota olympus,Olympic Marmot,LC,decreasing,match,match,matchmatch
mORSHx,Sorex ornatus,Ornate Shrew,41408,Sorex ornatus,Ornate Shrew,LC,stable,match,match,matchmatch
mPABAx,Antrozous pallidus,Pallid Bat,1790,Antrozous pallidus,Pallid Bat,LC,stable,match,match,matchmatch
mPASHx,Sorex pacificus,Pacific Shrew,41409,Sorex pacificus,Pacific Shrew,LC,stable,match,match,matchmatch
mPBSHx,Sorex preblei,Preble's Shrew,41413,Sorex preblei,Preble's Shrew,LC,unknown,match,match,matchmatch
mPFTBx,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,14994,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,LC,stable,match,match,matchmatch
mPGFBx,Mormoops megalophylla,Peters's Ghost-faced Bat,13878,Mormoops megalophylla,Peters's Ghost-faced Bat,LC,decreasing,match,match,matchmatch
mPGSQx,Urocitellus mollis,Piute Ground Squirrel,42469,Urocitellus mollis,Piute Ground Squirrel,LC,unknown,match,match,matchmatch
mPHMOx,Reithrodontomys montanus,Plains Harvest Mouse,19413,Reithrodontomys montanus,Plains Harvest Mouse,LC,stable,match,match,matchmatch
mPIKAx,Ochotona princeps,American Pika,41267,Ochotona princeps,American Pika,LC,decreasing,match,match,matchmatch
mPKRAx,Dipodomys panamintinus,Panamint Kangaroo Rat,42604,Dipodomys panamintinus,Panamint Kangaroo Rat,LC,stable,match,match,matchmatch
mPMBAx,Molossus molossus,Pallas's Mastiff Bat,13648,Molossus molossus,Pallas's Mastiff Bat,LC,unknown,match,match,matchmatch
mPPGOx,Geomys bursarius,Plains Pocket Gopher,42588,Geomys bursarius,Plains Pocket Gopher,LC,stable,match,match,matchmatch
mPPMOx,Perognathus flavescens,Plains Pocket Mouse,16634,Perognathus flavescens,Plains Pocket Mouse,LC,stable,match,match,matchmatch
mPRONx,Antilocapra americana,Pronghorn,1677,Antilocapra americana,Pronghorn,LC,stable,match,match,matchmatch
mPRSHx,Sorex haydeni,Prairie Shrew,41399,Sorex haydeni,Prairie Shrew,LC,stable,match,match,matchmatch
mPRVOx,Microtus ochrogaster,Prairie Vole,42631,Microtus ochrogaster,Prairie Vole,LC,stable,match,match,matchmatch
mPYRAx,Brachylagus idahoensis,Pygmy Rabbit,2963,Brachylagus idahoensis,Pygmy Rabbit,LC,unknown,match,match,matchmatch
mRBEBx,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,17600,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,LC,increasing,match,match,matchmatch
mREFOx,Vulpes vulpes,Red Fox,23062,Vulpes vulpes,Red Fox,LC,stable,match,match,matchmatch
mRESQx,Tamiasciurus hudsonicus,Red Squirrel,42587,Tamiasciurus hudsonicus,Red Squirrel,LC,stable,match,match,matchmatch
mRGSQx,Urocitellus richardsonii,Richardson's Ground Squirrel,42561,Urocitellus richardsonii,Richardson's Ground Squirrel,LC,stable,match,match,matchmatch
mRINGx,Bassariscus astutus,Ringtail,41680,Bassariscus astutus,Ringtail,LC,unknown,match,match,matchmatch
mROCOx,Sylvilagus robustus,Robust Cottontail,41310,Sylvilagus robustus,Robust Cottontail,EN,unknown,match,match,matchmatch
mROSQx,Otospermophilus variegatus,Rock Squirrel,20495,Otospermophilus variegatus,Rock Squirrel,LC,stable,match,match,matchmatch
mRPMOx,Chaetodipus intermedius,Rock Pocket Mouse,4334,Chaetodipus intermedius,Rock Pocket Mouse,LC,stable,match,match,matchmatch
mRTGSx,Xerospermophilus tereticaudus,Round-tailed Ground Squirrel,20493,Xerospermophilus tereticaudus,Round-tailed Ground Squirrel,LC,stable,match,match,matchmatch
mRTMUx,Neofiber alleni,Round-tailed Muskrat,14520,Neofiber alleni,Round-tailed Muskrat,LC,decreasing,match,match,matchmatch
mRTVOx,Arborimus longicaudus,Red Tree Vole,42615,Arborimus longicaudus,Red Tree Vole,NT,decreasing,match,match,matchmatch
mSAMBx,Rusa unicolor,Sambar,41790,Rusa unicolor,Sambar,VU,decreasing,match,match,matchmatch
mSAVOx,Lemmiscus curtatus,Sagebrush Vole,42624,Lemmiscus curtatus,Sagebrush Vole,LC,stable,match,match,matchmatch
mSBLEx,Synaptomys cooperi,Southern Bog Lemming,42639,Synaptomys cooperi,Southern Bog Lemming,LC,unknown,match,match,matchmatch
mSDPMx,Chaetodipus fallax,San Diego Pocket Mouse,4330,Chaetodipus fallax,San Diego Pocket Mouse,LC,unknown,match,match,matchmatch
mSEBAx,Lasiurus seminolus,Seminole Bat,11353,Lasiurus seminolus,Seminole Bat,LC,unknown,match,match,matchmatch
mSEGOx,Geomys pinetis,Southeastern Pocket Gopher,42589,Geomys pinetis,Southeastern Pocket Gopher,LC,unknown,match,match,matchmatch
mSEMYx,Myotis austroriparius,Southeastern Myotis,14147,Myotis austroriparius,Southeastern Myotis,LC,stable,match,match,matchmatch
mSEOTx,Enhydra lutris,Sea Otter,7750,Enhydra lutris,Sea Otter,EN,decreasing,match,match,matchmatch
mSFSQx,Glaucomys volans,Southern Flying Squirrel,9240,Glaucomys volans,Southern Flying Squirrel,LC,stable,match,match,matchmatch
mSGMOx,Onychomys torridus,Southern Grasshopper Mouse,15339,Onychomys torridus,Southern Grasshopper Mouse,LC,stable,match,match,matchmatch
mSGSQx,Xerospermophilus spilosoma,Spotted Ground Squirrel,42563,Xerospermophilus spilosoma,Spotted Ground Squirrel,LC,stable,match,match,matchmatch
mSHBAx,Lasionycteris noctivagans,Silver-haired Bat,11339,Lasionycteris noctivagans,Silver-haired Bat,LC,stable,match,match,matchmatch
mSHMOx,Neurotrichus gibbsii,Shrew-mole,41468,Neurotrichus gibbsii,Shrew-mole,LC,stable,match,match,matchmatch
mSJPMx,Perognathus inornatus,San Joaquin Pocket Mouse,42609,Perognathus inornatus,San Joaquin Pocket Mouse,LC,unknown,match,match,matchmatch
mSLMOx,Perognathus flavus,Silky Pocket Mouse,16635,Perognathus flavus,Silky Pocket Mouse,LC,stable,match,match,matchmatch
mSMHMx,Reithrodontomys raviventris,Salt-marsh Harvest Mouse,19401,Reithrodontomys raviventris,Salt-marsh Harvest Mouse,EN,decreasing,match,match,matchmatch
mSMSHx,Sorex fumeus,Smoky Shrew,41396,Sorex fumeus,Smoky Shrew,LC,stable,match,match,matchmatch
mSNHAx,Lepus americanus,Snowshoe Hare,41273,Lepus americanus,Snowshoe Hare,LC,stable,match,match,matchmatch
mSNMOx,Condylura cristata,Star-nosed Mole,41458,Condylura cristata,Star-nosed Mole,LC,stable,match,match,matchmatch
mSOTSx,Blarina carolinensis,Southern Short-tailed Shrew,41452,Blarina carolinensis,Southern Short-tailed Shrew,LC,stable,match,match,matchmatch
mSPBAx,Euderma maculatum,Spotted Bat,8166,Euderma maculatum,Spotted Bat,LC,stable,match,match,matchmatch
mSPMOx,Chaetodipus spinatus,Spiny Pocket Mouse,4338,Chaetodipus spinatus,Spiny Pocket Mouse,LC,unknown,match,match,matchmatch
mSPSHx,Sorex longirostris,Southeastern Shrew,41401,Sorex longirostris,Southeastern Shrew,LC,stable,match,match,matchmatch
mSPWOx,Neotoma micropus,Southern Plains Woodrat,14591,Neotoma micropus,Southern Plains Woodrat,LC,stable,match,match,matchmatch
mSRBVx,Myodes gapperi,Southern Red-backed Vole,42617,Myodes gapperi,Southern Red-backed Vole,LC,stable,match,match,matchmatch
mSSLIx,Eumetopias jubatus,Steller Sea Lion,8239,Eumetopias jubatus,Steller Sea Lion,NT,increasing,match,match,matchmatch
mSTSKx,Mephitis mephitis,Striped Skunk,41635,Mephitis mephitis,Striped Skunk,LC,stable,match,match,matchmatch
mSTVOx,Arborimus pomo,Sonoma Tree Vole,2018,Arborimus pomo,Sonoma Tree Vole,NT,decreasing,match,match,matchmatch
mSTWOx,Neotoma stephensi,Stephen's Woodrat,42651,Neotoma stephensi,Stephen's Woodrat,LC,stable,match,match,matchmatch
mSWFOx,Vulpes velox,Swift Fox,23059,Vulpes velox,Swift Fox,LC,stable,match,match,matchmatch
mSWMYx,Myotis auriculus,Southwestern Myotis,14145,Myotis auriculus,Southwestern Myotis,LC,unknown,match,match,matchmatch
mSWRAx,Sylvilagus aquaticus,Swamp Rabbit,41296,Sylvilagus aquaticus,Swamp Rabbit,LC,decreasing,match,match,matchmatch
mSYBAx,Lasiurus ega,Southern Yellow Bat,11350,Lasiurus ega,Southern Yellow Bat,LC,unknown,match,match,matchmatch
mTASQx,Ammospermophilus interpres,Texas Antelope Squirrel,42451,Ammospermophilus interpres,Texas Antelope Squirrel,LC,unknown,match,match,matchmatch
mTBCRx,Sigmodon fulviventer,Tawny-bellied Cotton Rat,20212,Sigmodon fulviventer,Tawny-bellied Cotton Rat,LC,stable,match,match,matchmatch
mTBEBx,Corynorhinus townsendii,Townsend's Big-eared Bat,17598,Corynorhinus townsendii,Townsend's Big-eared Bat,LC,stable,match,match,matchmatch
mTGSQx,Urocitellus townsendii,Townsend's Ground Squirrel,20476,Urocitellus townsendii,Townsend's Ground Squirrel,VU,decreasing,match,match,matchmatch
mTKRAx,Dipodomys elator,Texas Kangaroo Rat,6675,Dipodomys elator,Texas Kangaroo Rat,VU,decreasing,match,match,matchmatch
mTLGSx,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,42564,Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel,LC,stable,match,match,matchmatch
mTOMOx,Scapanus townsendii,Townsend's Mole,41475,Scapanus townsendii,Townsend's Mole,LC,stable,match,match,matchmatch
mTOVOx,Microtus townsendii,Townsend's Vole,13487,Microtus townsendii,Townsend's Vole,LC,stable,match,match,matchmatch
mTPGOx,Thomomys townsendii,Townsend's Pocket Gopher,42598,Thomomys townsendii,Townsend's Pocket Gopher,LC,stable,match,match,matchmatch
mTRSHx,Sorex trowbridgii,Trowbridge's Shrew,41421,Sorex trowbridgii,Trowbridge's Shrew,LC,stable,match,match,matchmatch
mTXDEx,Peromyscus attwateri,Texas Deermouse,42652,Peromyscus attwateri,Texas Deermouse,LC,stable,match,match,matchmatch
mTXGOx,Geomys personatus,Texas Pocket Gopher,9055,Geomys personatus,Texas Pocket Gopher,LC,unknown,match,match,matchmatch
mUGSQx,Urocitellus armatus,Uinta Ground Squirrel,42463,Urocitellus armatus,Uinta Ground Squirrel,LC,unknown,match,match,matchmatch
mUPDOx,Cynomys parvidens,Utah Prairie Dog,6090,Cynomys parvidens,Utah Prairie Dog,EN,decreasing,match,match,matchmatch
mVASHx,Sorex vagrans,Vagrant Shrew,41425,Sorex vagrans,Vagrant Shrew,LC,stable,match,match,matchmatch
mVIOPx,Didelphis virginiana,Virginia Opossum,40502,Didelphis virginiana,Virginia Opossum,LC,increasing,match,match,matchmatch
mWASQx,Urocitellus washingtoni,Washington Ground Squirrel,20475,Urocitellus washingtoni,Washington Ground Squirrel,NT,decreasing,match,match,matchmatch
mWEPIx,Pipistrellus hesperus,Western Pipistrelle,17341,Pipistrellus hesperus,Western Pipistrelle,LC,stable,match,match,matchmatch
mWFVOx,Arborimus albipes,White-footed Vole,2017,Arborimus albipes,White-footed Vole,LC,unknown,match,match,matchmatch
mWGSQx,Sciurus griseus,Western Gray Squirrel,20011,Sciurus griseus,Western Gray Squirrel,LC,unknown,match,match,matchmatch
mWHVOx,Phenacomys intermedius,Western Heather Vole,42636,Phenacomys intermedius,Western Heather Vole,LC,stable,match,match,matchmatch
mWIBOx,Sus scrofa,Wild Boar,41775,Sus scrofa,Wild Boar,LC,unknown,match,match,matchmatch
mWJMOx,Napaeozapus insignis,Woodland Jumping Mouse,42612,Napaeozapus insignis,Woodland Jumping Mouse,LC,stable,match,match,matchmatch
mWOLVx,Gulo gulo,Wolverine,9561,Gulo gulo,Wolverine,LC,decreasing,match,match,matchmatch
mWOODx,Marmota monax,Woodchuck,42458,Marmota monax,Woodchuck,LC,stable,match,match,matchmatch
mWOVOx,Microtus pinetorum,Woodland Vole,42633,Microtus pinetorum,Woodland Vole,LC,stable,match,match,matchmatch
mWPGOx,Thomomys mazama,Western Pocket Gopher,21810,Thomomys mazama,Western Pocket Gopher,LC,decreasing,match,match,matchmatch
mWRBVx,Myodes californicus,Western Red-backed Vole,42616,Myodes californicus,Western Red-backed Vole,LC,stable,match,match,matchmatch
mWSFMx,Myotis ciliolabrum,Western Small-footed Myotis,14153,Myotis ciliolabrum,Western Small-footed Myotis,LC,stable,match,match,matchmatch
mWSJAx,Lepus callotis,White-sided Jackrabbit,11792,Lepus callotis,White-sided Jackrabbit,NT,decreasing,match,match,matchmatch
mWSSKx,Spilogale gracilis,Western Spotted Skunk,136797,Spilogale gracilis,Western Spotted Skunk,LC,decreasing,match,match,matchmatch
mWTASx,Ammospermophilus leucurus,White-tailed Antelope Squirrel,42452,Ammospermophilus leucurus,White-tailed Antelope Squirrel,LC,stable,match,match,matchmatch
mWTDEx,Odocoileus virginianus,White-tailed Deer,42394,Odocoileus virginianus,White-tailed Deer,LC,stable,match,match,matchmatch
mWTHWx,Neotoma albigula,White-throated Woodrat,14582,Neotoma albigula,White-throated Woodrat,LC,stable,match,match,matchmatch
mWTJAx,Lepus townsendii,White-tailed Jackrabbit,41288,Lepus townsendii,White-tailed Jackrabbit,LC,decreasing,match,match,matchmatch
mWTPDx,Cynomys leucurus,White-tailed Prairie Dog,42454,Cynomys leucurus,White-tailed Prairie Dog,LC,decreasing,match,match,matchmatch
mWTWOx,Neotoma leucodon,White-toothed Woodrat,136793,Neotoma leucodon,White-toothed Woodrat,LC,stable,match,match,matchmatch
mWYBAx,Lasiurus xanthinus,Western Yellow Bat,41532,Lasiurus xanthinus,Western Yellow Bat,LC,stable,match,match,matchmatch
mWYGOx,Thomomys clusius,Wyoming Pocket Gopher,42595,Thomomys clusius,Wyoming Pocket Gopher,LC,unknown,match,match,matchmatch
mWYSQx,Urocitellus elegans,Wyoming Ground Squirrel,42467,Urocitellus elegans,Wyoming Ground Squirrel,LC,unknown,match,match,matchmatch
mYEMAx,Marmota flaviventris,Yellow-bellied Marmot,42457,Marmota flaviventris,Yellow-bellied Marmot,LC,stable,match,match,matchmatch
mYFPGx,Cratogeomys castanops,Yellow-faced Pocket Gopher,16025,Cratogeomys castanops,Yellow-faced Pocket Gopher,LC,stable,match,match,matchmatch
mYNCRx,Sigmodon ochrognathus,Yellow-nosed Cotton Rat,20217,Sigmodon ochrognathus,Yellow-nosed Cotton Rat,LC,unknown,match,match,matchmatch
mYUMYx,Myotis yumanensis,Yuma Myotis,14213,Myotis yumanensis,Yuma Myotis,LC,stable,match,match,matchmatch
rALTUx,Graptemys pulchra,Alabama Map Turtle,170494,Graptemys pulchra,Alabama Map Turtle,NT,unknown,match,match,matchmatch
rAMALx,Alligator mississippiensis,American Alligator,46583,Alligator mississippiensis,American Alligator,LR/lc,,match,match,matchmatch
rANLIx,Xantusia arizonae,Arizona Night Lizard,64361,Xantusia arizonae,Arizona Night Lizard,LC,stable,match,match,matchmatch
rARBCx,Pseudemys alabamensis,Alabama Red-bellied Cooter,18458,Pseudemys alabamensis,Alabama Red-bellied Cooter,EN,,match,match,matchmatch
rASTUx,Macrochelys temminckii,Alligator Snapping Turtle,12589,Macrochelys temminckii,Alligator Snapping Turtle,VU,,match,match,matchmatch
rASWHx,Aspidoscelis arizonae,Arizona Striped Whiptail,64249,Aspidoscelis arizonae,Arizona Striped Whiptail,NT,stable,match,match,matchmatch
rAZTUx,Kinosternon arizonense,Arizona Mud Turtle,63666,Kinosternon arizonense,Arizona Mud Turtle,LC,stable,match,match,matchmatch
rBCBLx,Urosaurus nigricaudus,Baja California Brush Lizard,64173,Urosaurus nigricaudus,Baja California Brush Lizard,LC,stable,match,match,matchmatch
rBCCLx,Crotaphytus vestigium,Baja California Collared Lizard,64013,Crotaphytus vestigium,Baja California Collared Lizard,LC,stable,match,match,matchmatch
rBHSKx,Plestiodon laticeps,Broad-headed Skink,64231,Plestiodon laticeps,Broad-headed Skink,LC,stable,match,match,matchmatch
rBMTUx,Graptemys barbouri,Barbour's Map Turtle,9496,Graptemys barbouri,Barbour's Map Turtle,VU,decreasing,match,match,matchmatch
rBNGAx,Thamnophis cyrtopsis,Black-necked Gartersnake,63975,Thamnophis cyrtopsis,Black-necked Gartersnake,LC,stable,match,match,matchmatch
rBNLIx,Xantusia bezyi,Bezy's Night Lizard,64362,Xantusia bezyi,Bezy's Night Lizard,LC,unknown,match,match,matchmatch
rBNLLx,Gambelia sila,Blunt-nosed Leopard Lizard,40690,Gambelia sila,Blunt-nosed Leopard Lizard,EN,decreasing,match,match,matchmatch
rBOTUx,Glyptemys muhlenbergii,Bog Turtle,4967,Glyptemys muhlenbergii,Bog Turtle,CR,unknown,match,match,matchmatch
rBRLIx,Petrosaurus mearnsi,Banded Rock Lizard,64067,Petrosaurus mearnsi,Banded Rock Lizard,LC,stable,match,match,matchmatch
rBRVWx,Nerodia harteri,Brazos River Watersnake,62238,Nerodia harteri,Brazos River Watersnake,NT,stable,match,match,matchmatch
rBTRAx,Crotalus molossus,Black-tailed Rattlesnake,64324,Crotalus molossus,Black-tailed Rattlesnake,LC,stable,match,match,matchmatch
rBTURx,Emydoidea blandingii,Blanding's Turtle,7709,Emydoidea blandingii,Blanding's Turtle,EN,decreasing,match,match,matchmatch
rCALIx,Sceloporus merriami,Canyon Lizard,64126,Sceloporus merriami,Canyon Lizard,LC,stable,match,match,matchmatch
rCBHSx,Tantilla wilcoxi,Chihuahuan Black-headed Snake,63965,Tantilla wilcoxi,Chihuahuan Black-headed Snake,LC,stable,match,match,matchmatch
rCDFLx,Uma notata,Colorado Desert Fringe-toed Lizard,64163,Uma notata,Colorado Desert Fringe-toed Lizard,NT,decreasing,match,match,matchmatch
rCFLSx,Plestiodon fasciatus,Common Five-lined Skink,64227,Plestiodon fasciatus,Common Five-lined Skink,LC,stable,match,match,matchmatch
rCHNSx,Gyalopion canum,Chihuahuan Hook-nosed Snake,63817,Gyalopion canum,Chihuahuan Hook-nosed Snake,LC,stable,match,match,matchmatch
rCKINx,Lampropeltis getula,Common Kingsnake,63828,Lampropeltis getula,Common Kingsnake,LC,stable,match,match,matchmatch
rCLSLx,Sceloporus clarkii,Clark's Spiny Lizard,64095,Sceloporus clarkii,Clark's Spiny Lizard,LC,stable,match,match,matchmatch
rCMKIx,Lampropeltis zonata,California Mountain Kingsnake,63834,Lampropeltis zonata,California Mountain Kingsnake,LC,decreasing,match,match,matchmatch
rCMTUx,Graptemys caglei,Cagle's Map Turtle,9497,Graptemys caglei,Cagle's Map Turtle,EN,decreasing,match,match,matchmatch
rCOGAx,Thamnophis sirtalis,Common Gartersnake,62240,Thamnophis sirtalis,Common Gartersnake,LC,stable,match,match,matchmatch
rCOSKx,Plestiodon anthracinus,Coal Skink,64220,Plestiodon anthracinus,Coal Skink,LC,stable,match,match,matchmatch
rCOSLx,Sceloporus graciosus,Common Sagebrush Lizard,64106,Sceloporus graciosus,Common Sagebrush Lizard,LC,stable,match,match,matchmatch
rCOTTx,Agkistrodon piscivorus,Cottonmouth,64298,Agkistrodon piscivorus,Cottonmouth,LC,stable,match,match,matchmatch
rCROCx,Crocodylus acutus,American Crocodile,5659,Crocodylus acutus,American Crocodile,VU,increasing,match,match,matchmatch
rCRSLx,Sceloporus poinsettii,Crevice Spiny Lizard,64138,Sceloporus poinsettii,Crevice Spiny Lizard,LC,stable,match,match,matchmatch
rCSBLx,Uta stansburiana,Common Side-blotched Lizard,64180,Uta stansburiana,Common Side-blotched Lizard,LC,stable,match,match,matchmatch
rCSWHx,Aspidoscelis burti,Canyon Spotted Whiptail,64251,Aspidoscelis burti,Canyon Spotted Whiptail,LC,stable,match,match,matchmatch
rCWHIx,Aspidoscelis exsanguis,Chihuahuan Spotted Whiptail,64264,Aspidoscelis exsanguis,Chihuahuan Spotted Whiptail,LC,stable,match,match,matchmatch
rDBWAx,Nerodia rhombifer,Diamond-backed Watersnake,63856,Nerodia rhombifer,Diamond-backed Watersnake,LC,stable,match,match,matchmatch
rDGWHx,Aspidoscelis uniparens,Desert Grassland Whiptail,64291,Aspidoscelis uniparens,Desert Grassland Whiptail,LC,stable,match,match,matchmatch
rDHLIx,Phrynosoma platyrhinos,Desert Horned Lizard,64080,Phrynosoma platyrhinos,Desert Horned Lizard,LC,stable,match,match,matchmatch
rDNLIx,Xantusia vigilis,Desert Night Lizard,64368,Xantusia vigilis,Desert Night Lizard,LC,stable,match,match,matchmatch
rDSALx,Sceloporus arenicolus,Dunes Sagebrush Lizard,64087,Sceloporus arenicolus,Dunes Sagebrush Lizard,VU,decreasing,match,match,matchmatch
rDSLIx,Sceloporus magister,Desert Spiny Lizard,64123,Sceloporus magister,Desert Spiny Lizard,LC,stable,match,match,matchmatch
rEBTUx,Terrapene carolina,Eastern Box Turtle,21641,Terrapene carolina,Eastern Box Turtle,VU,decreasing,match,match,matchmatch
rECLIx,Crotaphytus collaris,Eastern Collared Lizard,64007,Crotaphytus collaris,Eastern Collared Lizard,LC,stable,match,match,matchmatch
rEDBRx,Crotalus adamanteus,Eastern Diamond-backed Rattlesnake,64308,Crotalus adamanteus,Eastern Diamond-backed Rattlesnake,LC,decreasing,match,match,matchmatch
rEELIx,Holbrookia elegans,Elegant Earless Lizard,64063,Holbrookia elegans,Elegant Earless Lizard,LC,stable,match,match,matchmatch
rEFLIx,Sceloporus undulatus,Eastern Fence Lizard,64156,Sceloporus undulatus,Eastern Fence Lizard,LC,stable,match,match,matchmatch
rEGLIx,Ophisaurus ventralis,Eastern Glass Lizard,63721,Ophisaurus ventralis,Eastern Glass Lizard,LC,stable,match,match,matchmatch
rEHNSx,Heterodon platirhinos,Eastern Hog-nosed Snake,63820,Heterodon platirhinos,Eastern Hog-nosed Snake,LC,stable,match,match,matchmatch
rEISNx,Drymarchon couperi,Eastern Indigo Snake,63773,Drymarchon couperi,Eastern Indigo Snake,LC,decreasing,match,match,matchmatch
rEMDTx,Kinosternon subrubrum,Eastern Mud Turtle,163435,Kinosternon subrubrum,Eastern Mud Turtle,LC,unknown,match,match,matchmatch
rEMSTx,Sternotherus odoratus,Eastern Musk Turtle,163450,Sternotherus odoratus,Eastern Musk Turtle,LC,stable,match,match,matchmatch
rEMTUx,Graptemys ernsti,Escambia Map Turtle,9500,Graptemys ernsti,Escambia Map Turtle,NT,decreasing,match,match,matchmatch
rEPNSx,Salvadora grahamiae,Eastern Patch-nosed Snake,63911,Salvadora grahamiae,Eastern Patch-nosed Snake,LC,stable,match,match,matchmatch
rFCSNx,Tantilla relicta,Florida Crowned Snake,63956,Tantilla relicta,Florida Crowned Snake,LC,stable,match,match,matchmatch
rFLMTx,Sternotherus depressus,Flattened Musk Turtle,20824,Sternotherus depressus,Flattened Musk Turtle,CR,decreasing,match,match,matchmatch
rFLSKx,Plestiodon tetragrammus,Four-lined Skink,64241,Plestiodon tetragrammus,Four-lined Skink,LC,stable,match,match,matchmatch
rFRBCx,Pseudemys nelsoni,Florida Red-bellied Cooter,170495,Pseudemys nelsoni,Florida Red-bellied Cooter,LC,stable,match,match,matchmatch
rFSLIx,Sceloporus woodi,Florida Scrub Lizard,64160,Sceloporus woodi,Florida Scrub Lizard,NT,decreasing,match,match,matchmatch
rFSSKx,Plestiodon reynoldsi,Florida Sand Skink,14564,Plestiodon reynoldsi,Florida Sand Skink,VU,decreasing,match,match,matchmatch
rFTHLx,Phrynosoma mcallii,Flat-tailed Horned Lizard,64077,Phrynosoma mcallii,Flat-tailed Horned Lizard,NT,decreasing,match,match,matchmatch
rGBCLx,Crotaphytus bicinctores,Great Basin Collared Lizard,64006,Crotaphytus bicinctores,Great Basin Collared Lizard,LC,stable,match,match,matchmatch
rGBKIx,Lampropeltis alterna,Gray-banded Kingsnake,63825,Lampropeltis alterna,Gray-banded Kingsnake,LC,stable,match,match,matchmatch
