Species ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Authority	Infraspecific rank	Infraspecific name	Infraspecific authority	Stock/subpopulation	Synonyms	Common names (Eng)	Common names (Fre)	Common names (Spa)	Red List status	Red List criteria	Red List criteria version	Year assessed	Population trend	Petitioned
59045	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	SCAPHIOPODIDAE	Spea	hammondii	"(Baird, 1859)"						"Western Spadefoot, Western Spadefoot Toad"			NT		3.1	2004	decreasing	N
59046	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	SCAPHIOPODIDAE	Spea	intermontana	"(Cope, 1883)"					Scaphiopus intermontanus	Great Basin Spadefoot			LC		3.1	2015	stable	N
59047	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	SCAPHIOPODIDAE	Spea	multiplicata	"(Cope, 1863)"					Scaphopus hammondii subspecies multiplicatus	"New Mexico Spadefoot, Southern Spadefoot"			LC		3.1	2010	stable	N
64052	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	SPHAERODACTYLIDAE	Sphaerodactylus	notatus	"Baird, 1858"						"Brown-speckled Sphaero, Reef Gecko"			LC		3.1	2007	stable	N
22697817	ANIMALIA	CHORDATA	AVES	SPHENISCIFORMES	SPHENISCIDAE	Spheniscus	humboldti	"Meyen, 1834"						"Humboldt Penguin, Peruvian Penguin"		Pingüino de Humboldt	VU	A2bcde+3bcde+4bcde	3.1	2016	unknown	N
22680871	ANIMALIA	CHORDATA	AVES	PICIFORMES	PICIDAE	Sphyrapicus	nuchalis	"Baird, 1858"						Red-naped Sapsucker			LC		3.1	2016	stable	N
22680874	ANIMALIA	CHORDATA	AVES	PICIFORMES	PICIDAE	Sphyrapicus	ruber	"(Gmelin, 1788)"						Red-breasted Sapsucker			LC		3.1	2016	stable	N
22680877	ANIMALIA	CHORDATA	AVES	PICIFORMES	PICIDAE	Sphyrapicus	thyroideus	"(Cassin, 1851)"						Williamson's Sapsucker			LC		3.1	2016	stable	N
22680868	ANIMALIA	CHORDATA	AVES	PICIFORMES	PICIDAE	Sphyrapicus	varius	"(Linnaeus, 1766)"						Yellow-bellied Sapsucker			LC		3.1	2016	decreasing	N
136797	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	MEPHITIDAE	Spilogale	gracilis	"Merriam, 1890"						Western Spotted Skunk			LC		3.1	2016	decreasing	N
41636	ANIMALIA	CHORDATA	MAMMALIA	CARNIVORA	MEPHITIDAE	Spilogale	putorius	"(Linnaeus, 1758)"					Viverra putorius	"Eastern Spotted Skunk, Plains Spotted Skunk, Allegheny Spotted Skunk, Appalachian Spotted Skunk, Spotted Skunk"		Zorillo Manchado	VU	A2abc+3bc+4abc	3.1	2016	decreasing	N
60482887	ANIMALIA	CHORDATA	AVES	COLUMBIFORMES	COLUMBIDAE	Spilopelia	chinensis	"(Scopoli, 1786)"					Stigmatopelia chinensis	"Eastern Spotted Dove, Spotted Dove"			LC		3.1	2016	increasing	N
22722522	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	SPINDALIDAE	Spindalis	zena	"(Linnaeus, 1766)"						Western Spindalis			LC		3.1	2016	stable	N
22720413	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Spinus	lawrencei	"(Cassin, 1852)"					Carduelis lawrencei	Lawrence's Goldfinch			LC		3.1	2016	decreasing	N
22720359	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Spinus	pinus	"(Wilson, 1810)"					Carduelis pinus	Pine Siskin			LC		3.1	2016	stable	N
22720410	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Spinus	psaltria	"(Say, 1823)"					Carduelis psaltria	Lesser Goldfinch			LC		3.1	2016	decreasing	N
22720354	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Spinus	spinus	"(Linnaeus, 1758)"					Carduelis spinus	"Eurasian Siskin, European Siskin, Siskin"			LC		3.1	2016	decreasing	N
22720407	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	FRINGILLIDAE	Spinus	tristis	"(Linnaeus, 1758)"					Carduelis tristis	American Goldfinch			LC		3.1	2016	increasing	N
22723796	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	CARDINALIDAE	Spiza	americana	"(Gmelin, 1789)"						Dickcissel			LC		3.1	2016	stable	N
22721185	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	atrogularis	"(Cabanis, 1851)"						Black-chinned Sparrow			LC		3.1	2016	decreasing	N
22734705	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	breweri	"Cassin, 1856"						Brewer's Sparrow			LC		3.1	2016	decreasing	N
22721165	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	pallida	"(Swainson, 1832)"						"Clay-colored Sparrow, Clay-coloured Sparrow"			LC		3.1	2016	decreasing	N
22721162	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	passerina	"(Bechstein, 1798)"						Chipping Sparrow			LC		3.1	2016	increasing	N
22721179	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	pusilla	"(Wilson, 1810)"						Field Sparrow			LC		3.1	2016	decreasing	N
22721182	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PASSERELLIDAE	Spizella	wortheni	"Ridgway, 1884"						Worthen's Sparrow			EN	"B1ab(i,ii,iii,v); C2a(i); D"	3.1	2016	decreasing	N
22731776	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	THRAUPIDAE	Sporophila	morelleti	"(Bonaparte, 1850)"						White-collared Seedeater			LC		3.1	2016	increasing	N
22693472	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	SCOLOPACIDAE	Steganopus	tricolor	"(Vieillot, 1819)"					Phalaropus tricolor |Phalaropus tricolor |Phalaropus tricolor tricolor|Phalaropus tricolor tricolor|Phalaropus tricolor tricolor|Phalaropus tricolor tricolor	Wilson's Phalarope	Phalarope de Wilson		LC		3.1	2016	increasing	N
22712152	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	HIRUNDINIDAE	Stelgidopteryx	serripennis	"(Audubon, 1838)"						Northern Rough-winged Swallow			LC		3.1	2016	decreasing	N
20729	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Stenella	attenuata	"(Gray, 1846)"					Stenella graffmani  	"Pantropical Spotted Dolphin, Bridled Dolphin, Narrow-snouted Dolphin"	Dauphin tacheté Pantropical	"Delfín Manchado, Delfín Pintado"	LC		3.1	2012	unknown	N
20730	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Stenella	clymene	"(Gray, 1846)"						"Clymene Dolphin, Helmet Dolphin, Atlantic Spinner Dolphin"	Dauphin De Clymène	Delfín Clymene	DD		3.1	2012	unknown	N
20731	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Stenella	coeruleoalba	"(Meyen, 1833)"					Stenella euphrosyne  |Stenella styx  	"Striped Dolphin, Euphrosyne Dolphin"	"Dauphin Rayé, Dauphin bleu et blanc"	"Delfín Blanco y Azul, Delfín Listado"	LC		3.1	2008	unknown	N
20732	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Stenella	frontalis	"(G. Cuvier, 1829)"					Stenella plagiodon  	"Atlantic Spotted Dolphin, Bridled Dolphin"	Dauphin Tacheté De L'Atlantique	"Delfín Manchado Del Atlántico, Delfín Pintado"	DD		3.1	2012	unknown	N
20733	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Stenella	longirostris	"(Gray, 1828)"						"Spinner Dolphin, Long-beaked Dolphin, Long-snouted Dolphin"	Dauphin longirostre	"Delfín Tornillón, Estenela Giradora"	DD		3.1	2012	unknown	N
20738	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Steno	bredanensis	"(G. Cuvier in Lesson, 1828)"						Rough-toothed Dolphin	Sténo	Delfín de Pico Largo	LC		3.1	2012	unknown	N
22694251	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	STERCORARIIDAE	Stercorarius	longicaudus	"Vieillot, 1819"						"Long-tailed Jaeger, Long-tailed Skua"	Labbe à longue queue		LC		3.1	2016	stable	N
22694245	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	STERCORARIIDAE	Stercorarius	parasiticus	"(Linnaeus, 1758)"						"Arctic Jaeger, Arctic Skua, Arctic Jaeger"	Labbe parasite		LC		3.1	2016	stable	N
22694240	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	STERCORARIIDAE	Stercorarius	pomarinus	"(Temminck, 1815)"						"Pomarine Jaeger, Pomarine Skua"	Labbe pomarin		LC		3.1	2016	stable	N
59406	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Stereochilus	marginatus	"(Hallowell, 1856)"						Many-lined Salamander			LC		3.1	2014	unknown	N
22694601	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sterna	dougallii	"Montagu, 1813"						Roseate Tern	Sterne de Dougall		LC		3.1	2016	unknown	N
22694646	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sterna	forsteri	"Nuttall, 1834"						Forster's Tern			LC		3.1	2016	increasing	N
22694623	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sterna	hirundo	"Linnaeus, 1758"						Common Tern	Sterne pierregarin		LC		3.1	2016	unknown	N
22694629	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sterna	paradisaea	"Pontoppidan, 1763"						Arctic Tern	Sterne arctique		LC		3.1	2016	decreasing	N
170492	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	KINOSTERNIDAE	Sternotherus	carinatus	"(Gray, 1856)"					Aromochelys carinata  	"Razor-backed Musk Turtle, Keeled Musk Turtle"			LC		3.1	2011	unknown	N
20824	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	KINOSTERNIDAE	Sternotherus	depressus	"Tinkle &  Webb, 1955"						Flattened Musk Turtle			CR	A2bce+4bce	3.1	2011	decreasing	N
170493	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	KINOSTERNIDAE	Sternotherus	minor	"(Agassiz, 1857)"					Goniochelys minor|Kinosternon minor  |Sternotherus peltifer  	"Loggerhead Musk Turtle, Stripe-necked Musk Turtle"			LC		3.1	2011	unknown	N
163450	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	KINOSTERNIDAE	Sternotherus	odoratus	"(Latreille in Sonnini & Latreille, 1801)"					Kinosternon odoratum  |Kinosternum guttatum  |Ozotheca tristycha  |Testudo glutinata  |Testudo odorata  	"Eastern Musk Turtle, Common Musk Turtle, Stinkpot"			LC		3.1	2015	stable	N
22694656	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sternula	albifrons	"(Pallas, 1764)"					Sterna albifrons|Sternula albifrons|Sternula albifrons	Little Tern	Sterne naine		LC		3.1	2016	decreasing	N
22694673	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	LARIDAE	Sternula	antillarum	"Lesson, 1847"					Sterna antillarum|Sternula antillarum	Least Tern			LC		3.1	2016	decreasing	N
63928	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	NATRICIDAE	Storeria	dekayi	"(Holbrook, 1842)"						"Brownsnake, Brown Snake"			LC		3.1	2013	stable	N
63930	ANIMALIA	CHORDATA	REPTILIA	SQUAMATA	NATRICIDAE	Storeria	occipitomaculata	"(Storer, 1839)"						"Red-bellied Snake, Redbelly Snake"			LC		3.1	2007	stable	N
22727811	ANIMALIA	CHORDATA	AVES	COLUMBIFORMES	COLUMBIDAE	Streptopelia	decaocto	"Frivaldszky, 1838"						"Eurasian Collared-dove, Collared Dove"			LC		3.1	2016	increasing	N
