gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,originUS,RedListStatus,PopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,L2endemic,spp10p,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
bDEJUx,Dark-eyed Junco,Junco hyemalis,22721097.0,Dark-eyed Junco,Junco hyemalis,Native,LC,stable,0,80932,35.15188786538569,0,0,0,0,A,A,0,bDEJUx,2922057308,307068898,11
bDICKx,Dickcissel,Spiza americana,22723796.0,Dickcissel,Spiza americana,Native,LC,stable,0,40527,57.29582045143239,0,0,0,0,A,A,0,bDICKx,2419229055,27909959,1
bDOVEx,Dovekie,Alle alle,22694837.0,Little Auk,Alle alle,Native,LC,decreasing,1,275,38.812203427288814,0,0,0,0,D,DD,1,bDOVEx,24173426,291684,1
bDOWOx,Downy Woodpecker,Picoides pubescens,22681155.0,Downy Woodpecker,Dryobates pubescens,Native,LC,stable,0,74622,40.284522554483615,0,0,0,0,A,A,0,bDOWOx,3033596648,273191600,9
bDUFLx,Dusky Flycatcher,Empidonax oberholseri,22699864.0,American Dusky Flycatcher,Empidonax oberholseri,Native,LC,decreasing,1,25164,51.12944600135003,0,0,0,0,D,DD,1,bDUFLx,1310227968,157342362,12
bDUGRx,Dusky Grouse,Dendragapus obscurus,22734690.0,Dusky Grouse,Dendragapus obscurus,Native,LC,decreasing,1,8978,63.26449773031416,0,1,0,1,G,DD,1,bDUGRx,557065479,94824067,17
bDUNLx,Dunlin,Calidris alpina,22693427.0,Dunlin,Calidris alpina,Native,LC,decreasing,1,5182,14.031918407630446,0,0,0,0,D,DD,1,bDUNLx,107133077,9820606,9
bEABLx,Eastern Bluebird,Sialia sialis,22708550.0,Eastern Bluebird,Sialia sialis,Native,LC,increasing,0,47318,51.53640374656915,0,0,0,0,A,A,0,bEABLx,2528709026,45924154,2
bEAGRx,Eared Grebe,Podiceps nigricollis,22696610.0,Black-necked Grebe,Podiceps nigricollis,Native,LC,unknown,0,28336,3.45062411845491,1,0,0,0,C,TR,1,bEAGRx,188162278,18140097,10
bEAKIx,Eastern Kingbird,Tyrannus tyrannus,22700506.0,Eastern Kingbird,Tyrannus tyrannus,Native,LC,decreasing,1,63305,77.29113142863623,0,0,0,0,D,DD,1,bEAKIx,5119745368,209013826,4
bEAMEx,Eastern Meadowlark,Sturnella magna,22735434.0,Eastern Meadowlark,Sturnella magna,Native,LC,increasing,0,45886,42.54400493478322,0,0,0,0,A,A,0,bEAMEx,2021239321,26021518,1
bEAPHx,Eastern Phoebe,Sayornis phoebe,22699886.0,Eastern Phoebe,Sayornis phoebe,Native,LC,increasing,0,19681,50.73757333568945,0,0,0,0,A,A,0,bEAPHx,965511910,17593837,2
bEASOx,Eastern Screech-owl,Megascops asio,22688758.0,Eastern Screech-owl,Megascops asio,Native,LC,increasing,0,48932,54.728125236741114,0,0,0,0,A,A,0,bEASOx,2754477843,102834883,4
bEATOx,Eastern Towhee,Pipilo erythrophthalmus,22721310.0,Eastern Towhee,Pipilo erythrophthalmus,Native,LC,stable,0,36946,39.878499626367606,0,0,0,0,A,A,0,bEATOx,1522746968,51687849,3
bEAWPx,Eastern Wood-pewee,Contopus virens,22699816.0,Eastern Wood-pewee,Contopus virens,Native,LC,decreasing,1,40816,40.64395739334566,0,0,0,0,D,DD,1,bEAWPx,1671589532,117226723,7
bELOWx,Elf Owl,Micrathene whitneyi,22689325.0,Elf Owl,Micrathene whitneyi,Native,LC,decreasing,1,3056,44.32574055798063,0,0,0,0,D,DD,1,bELOWx,153149606,16563175,11
bELTEx,Elegant Tern,Thalasseus elegans,22694552.0,Elegant Tern,Thalasseus elegans,Native,NT,stable,0,146,39.842356729979024,0,1,0,1,B,TR,1,bELTEx,17992637,106292,1
bELTRx,Elegant Trogon,Trogon elegans,22726830.0,Elegant Trogon,Trogon elegans,Introduced,LC,unknown,0,442,15.198657838361607,0,0,1,1,X,X,0,bELTRx,6691578,1095201,16
bETSPx,Eurasian Tree Sparrow,Passer montanus,22718270.0,Eurasian Tree Sparrow,Passer montanus,Introduced,LC,decreasing,0,716,49.44500941447551,0,0,0,0,X,X,0,bETSPx,34710894,299769,1
bEUCDx,Eurasian Collared-dove,Streptopelia decaocto,22727811.0,Eurasian Collared-dove,Streptopelia decaocto,Introduced,LC,increasing,0,69046,66.93973988425681,0,0,0,0,X,X,0,bEUCDx,4995814459,221139001,4
bEUSTx,European Starling,Sturnus vulgaris,22710886.0,Common Starling,Sturnus vulgaris,Introduced,LC,decreasing,0,79947,50.8573486044945,0,0,0,0,X,X,0,bEUSTx,4251689281,116388812,3
bEUWIx,Eurasian Wigeon,Anas penelope,22680157.0,Eurasian Wigeon,Mareca penelope,Native,LC,decreasing,1,8145,2.2565178964927792,1,0,0,0,F,DD,1,bEUWIx,27323920,5491395,20
