strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
bBLSWx,Cypseloides niger,Black Swift,22686440,Cypseloides niger,Black Swift,VU,decreasing
bBLTEx,Chlidonias niger,Black Tern,22694787,Chlidonias niger,Black Tern,LC,decreasing
bBLTUx,Arenaria melanocephala,Black Turnstone,22693341,Arenaria melanocephala,Black Turnstone,LC,stable
bBLVUx,Coragyps atratus,Black Vulture,22697624,Coragyps atratus,American Black Vulture,LC,increasing
bBNSTx,Himantopus mexicanus,Black-necked Stilt,22727969,Himantopus himantopus,Black-winged Stilt,LC,increasing
bBOBOx,Dolichonyx oryzivorus,Bobolink,22724367,Dolichonyx oryzivorus,Bobolink,LC,decreasing
bBOCHx,Poecile hudsonica,Boreal Chickadee,22711759,Poecile hudsonicus,Boreal Chickadee,LC,decreasing
bBOGUx,Chroicocephalus philadelphia,Bonaparte's Gull,22694432,Larus philadelphia,Bonaparte's Gull,LC,increasing
bBOOWx,Aegolius funereus,Boreal Owl,22689362,Aegolius funereus,Boreal Owl,LC,stable
bBOSPx,Aimophila botterii,Botteri's Sparrow,22721264,Peucaea botterii,Botteri's Sparrow,LC,stable
bBOWAx,Bombycilla garrulus,Bohemian Waxwing,22708146,Bombycilla garrulus,Bohemian Waxwing,LC,increasing
bBRACx,Phalacrocorax penicillatus,Brandt's Cormorant,22696753,Urile penicillatus,Brandt's Cormorant,LC,decreasing
bBRBLx,Euphagus cyanocephalus,Brewer's Blackbird,22724332,Euphagus cyanocephalus,Brewer's Blackbird,LC,decreasing
bBRCRx,Certhia americana,Brown Creeper,22711244,Certhia americana,American Treecreeper,LC,stable
bBRJAx,Cyanocorax morio,Brown Jay,22705742,Cyanocorax morio,Brown Jay,LC,increasing
bBRNOx,Anous stolidus,Brown Noddy,22694794,Anous stolidus,Brown Noddy,LC,stable
bBROCx,Molothrus aeneus,Bronzed Cowbird,22732035,Molothrus aeneus,Bronzed Cowbird,LC,stable
bBRPEx,Pelecanus occidentalis,Brown Pelican,22733989,Pelecanus occidentalis,Brown Pelican,LC,increasing
bBRSPx,Spizella breweri,Brewer's Sparrow,22734705,Spizella breweri,Brewer's Sparrow,LC,decreasing
bBRTEx,Onychoprion anaethetus,Bridled Tern,22694730,Onychoprion anaethetus,Bridled Tern,LC,unknown
bBRTHx,Toxostoma rufum,Brown Thrasher,22711099,Toxostoma rufum,Brown Thrasher,LC,decreasing
bBRTIx,Baeolophus wollweberi,Bridled Titmouse,22711969,Baeolophus wollweberi,Bridled Titmouse,LC,stable
bBTAHx,Selasphorus platycercus,Broad-tailed Hummingbird,22688293,Selasphorus platycercus,Broad-tailed Hummingbird,LC,stable
bBTBWx,Dendroica caerulescens,Black-throated Blue Warbler,22721673,Setophaga caerulescens,Black-throated Blue Warbler,LC,increasing
bBTGNx,Polioptila melanura,Black-tailed Gnatcatcher,22711588,Polioptila melanura,Black-tailed Gnatcatcher,LC,decreasing
bBTGRx,Quiscalus major,Boat-tailed Grackle,22724311,Quiscalus major,Boat-tailed Grackle,LC,increasing
bBTHHx,Lampornis clemenciae,Blue-throated Hummingbird,22687664,Lampornis clemenciae,Blue-throated Hummingbird,LC,increasing
bBTNWx,Dendroica virens,Black-throated Green Warbler,22721689,Setophaga virens,Black-throated Green Warbler,LC,decreasing
bBTPIx,Patagioenas fasciata,Band-tailed Pigeon,22725264,Patagioenas fasciata,Northern Band-tailed Pigeon,LC,decreasing
bBTSPx,Amphispiza bilineata,Black-throated Sparrow,22721194,Amphispiza bilineata,Black-throated Sparrow,LC,decreasing
bBTYWx,Dendroica nigrescens,Black-throated Gray Warbler,22721679,Setophaga nigrescens,Black-throated Grey Warbler,LC,stable
bBUFFx,Bucephala albeola,Bufflehead,22680462,Bucephala albeola,Bufflehead,LC,increasing
bBUORx,Icterus bullockii,Bullock's Oriole,22729123,Icterus bullockiorum,Bullock's Oriole,LC,stable
bBUOWx,Athene cunicularia,Burrowing Owl,22689353,Athene cunicularia,Burrowing Owl,LC,decreasing
bBUSHx,Psaltriparus minimus,Bushtit,22712028,Psaltriparus minimus,American Bushtit,LC,stable
bBWHAx,Buteo platypterus,Broad-winged Hawk,22695891,Buteo platypterus,Broad-winged Hawk,LC,increasing
bBWTEx,Anas discors,Blue-winged Teal,22680229,Spatula discors,Blue-winged Teal,LC,decreasing
bBWVIx,Vireo altiloquus,Black-whiskered Vireo,22705254,Vireo altiloquus,Black-whiskered Vireo,LC,unknown
bBWWAx,Vermivora pinus,Blue-winged Warbler,22721610,Vermivora cyanoptera,Blue-winged Warbler,LC,decreasing
bCAAUx,Ptychoramphus aleuticus,Cassin's Auklet,22694903,Ptychoramphus aleuticus,Cassin's Auklet,NT,decreasing
bCACGx,Branta hutchinsii,Cackling Goose,22733619,Branta hutchinsii,Cackling Goose,LC,unknown
bCACHx,Poecile carolinensis,Carolina Chickadee,22711708,Poecile carolinensis,Carolina Chickadee,LC,stable
bCACOx,Gymnogyps californianus,California Condor,22697636,Gymnogyps californianus,California Condor,CR,increasing
bCACWx,Campylorhynchus brunneicapillus,Cactus Wren,22711287,Campylorhynchus brunneicapillus,Cactus Wren,LC,decreasing
bCAEGx,Bubulcus ibis,Cattle Egret,22697109,Bubulcus ibis,Cattle Egret,LC,increasing
bCAFIx,Carpodacus cassinii,Cassin's Finch,22720560,Haemorhous cassinii,Cassin's Finch,NT,decreasing
bCAGNx,Polioptila californica,California Gnatcatcher,22711585,Polioptila californica,California Gnatcatcher,LC,decreasing
bCAGUx,Larus californicus,California Gull,22694321,Larus californicus,California Gull,LC,decreasing
bCAHUx,Stellula calliope,Calliope Hummingbird,22688232,Selasphorus calliope,Calliope Hummingbird,LC,stable
bCAKIx,Tyrannus vociferans,Cassin's Kingbird,22700491,Tyrannus vociferans,Cassin's Kingbird,LC,stable
bCALTx,Pipilo crissalis,California Towhee,22721323,Melozone crissalis,California Towhee,LC,decreasing
bCANGx,Branta canadensis,Canada Goose,22679935,Branta canadensis,Canada Goose,LC,increasing
bCANTx,Pipilo fuscus,Canyon Towhee,22721331,Melozone fusca,Canyon Towhee,LC,stable
bCANVx,Aythya valisineria,Canvasback,22680364,Aythya valisineria,Canvasback,LC,decreasing
bCANWx,Catherpes mexicanus,Canyon Wren,22711335,Catherpes mexicanus,Canyon Wren,LC,decreasing
bCAQUx,Callipepla californica,California Quail,22679603,Callipepla californica,California Quail,LC,increasing
bCARWx,Thryothorus ludovicianus,Carolina Wren,103887192,Thryothorus ludovicianus,Carolina Wren,LC,increasing
bCASPx,Aimophila cassinii,Cassin's Sparrow,22721272,Peucaea cassinii,Cassin's Sparrow,LC,decreasing
bCASWx,Petrochelidon fulva,Cave Swallow,22712435,Petrochelidon fulva,Cave Swallow,LC,increasing
bCATEx,Hydroprogne caspia,Caspian Tern,22694524,Hydroprogne caspia,Caspian Tern,LC,increasing
bCATHx,Toxostoma redivivum,California Thrasher,22711124,Toxostoma redivivum,California Thrasher,LC,decreasing
bCAVIx,Vireo cassinii,Cassin's Vireo,22705228,Vireo cassinii,Cassin's Vireo,LC,increasing
bCAWAx,Wilsonia canadensis,Canada Warbler,22721882,Cardellina canadensis,Canada Warbler,LC,decreasing
bCBCHx,Poecile rufescens,Chestnut-backed Chickadee,22711767,Poecile rufescens,Chestnut-backed Chickadee,LC,increasing
bCBTHx,Toxostoma curvirostre,Curve-billed Thrasher,22711115,Toxostoma curvirostre,Curve-billed Thrasher,LC,decreasing
bCCLOx,Calcarius ornatus,Chestnut-collared Longspur,22721040,Calcarius ornatus,Chestnut-collared Longspur,VU,decreasing
bCCSPx,Spizella pallida,Clay-colored Sparrow,22721165,Spizella pallida,Clay-colored Sparrow,LC,decreasing
bCEDWx,Bombycilla cedrorum,Cedar Waxwing,22708153,Bombycilla cedrorum,Cedar Waxwing,LC,increasing
bCERWx,Dendroica cerulea,Cerulean Warbler,22721740,Setophaga cerulea,Cerulean Warbler,VU,decreasing
bCHRAx,Corvus cryptoleucus,Chihuahuan Raven,22706055,Corvus cryptoleucus,Chihuahuan Raven,LC,stable
bCHSPx,Spizella passerina,Chipping Sparrow,22721162,Spizella passerina,Chipping Sparrow,LC,increasing
bCHSWx,Chaetura pelagica,Chimney Swift,22686709,Chaetura pelagica,Chimney Swift,VU,decreasing
bCHUKx,Alectoris chukar,Chukar,22678691,Alectoris chukar,Chukar,LC,stable
bCITEx,Anas cyanoptera,Cinnamon Teal,22680233,Spatula cyanoptera,Cinnamon Teal,LC,decreasing
bCLGRx,Aechmophorus clarkii,Clark's Grebe,22696634,Aechmophorus clarkii,Clark's Grebe,LC,decreasing
bCLNUx,Nucifraga columbiana,Clark's Nutcracker,22705909,Nucifraga columbiana,Clark's Nutcracker,LC,stable
bCLRAx,Rallus longirostris,Clapper Rail,62155296,Rallus crepitans,Clapper Rail,LC,decreasing
bCLSWx,Petrochelidon pyrrhonota,Cliff Swallow,22712427,Petrochelidon pyrrhonota,Cliff Swallow,LC,increasing
bCMWAx,Dendroica tigrina,Cape May Warbler,22721670,Setophaga tigrina,Cape May Warbler,LC,stable
bCOBHx,Buteogallus anthracinus,Common Black-hawk,22735514,Buteogallus anthracinus,Common Black Hawk,LC,decreasing
bCOEIx,Somateria mollissima,Common Eider,22680405,Somateria mollissima,Common Eider,NT,unknown
bCOFLx,Empidonax occidentalis,Cordilleran Flycatcher,22699874,Empidonax occidentalis,Cordilleran Flycatcher,LC,decreasing
bCOGDx,Columbina passerina,Common Ground-dove,22690774,Columbina passerina,Common Ground-dove,LC,decreasing
