strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
bRUBLx,Euphagus carolinus,Rusty Blackbird,22724329,Euphagus carolinus,Rusty Blackbird,VU,decreasing
bRUDUx,Oxyura jamaicensis,Ruddy Duck,22727750,Oxyura jamaicensis,Ruddy Duck,LC,decreasing
bRUGRx,Bonasa umbellus,Ruffed Grouse,22679500,Bonasa umbellus,Ruffed Grouse,LC,decreasing
bRUHUx,Selasphorus rufus,Rufous Hummingbird,22688296,Selasphorus rufus,Rufous Hummingbird,NT,decreasing
bRUTUx,Arenaria interpres,Ruddy Turnstone,22693336,Arenaria interpres,Ruddy Turnstone,LC,decreasing
bRWBLx,Agelaius phoeniceus,Red-winged Blackbird,22724191,Agelaius phoeniceus,Red-winged Blackbird,LC,decreasing
bRWSPx,Aimophila carpalis,Rufous-winged Sparrow,22721280,Peucaea carpalis,Rufous-winged Sparrow,LC,stable
bSACRx,Grus canadensis,Sandhill Crane,22692078,Antigone canadensis,Sandhill Crane,LC,increasing
bSAGSx,Amphispiza belli,Sage Sparrow,103780166,Artemisiospiza nevadensis,Sagebrush Sparrow,LC,decreasing
bSANDx,Calidris alba,Sanderling,22693369,Calidris alba,Sanderling,LC,unknown
bSAPHx,Sayornis saya,Say's Phoebe,22699889,Sayornis saya,Say's Phoebe,LC,increasing
bSATEx,Thalasseus sandvicensis,Sandwich Tern,22694591,Thalasseus sandvicensis,Sandwich Tern,LC,stable
bSATHx,Oreoscoptes montanus,Sage Thrasher,22711096,Oreoscoptes montanus,Sage Thrasher,LC,decreasing
bSAVSx,Passerculus sandwichensis,Savannah Sparrow,103780243,Passerculus sandwichensis,Savannah Sparrow,LC,stable
bSBAOx,Icterus pustulatus,Streak-backed Oriole,22724111,Icterus pustulatus,Streak-backed Oriole,LC,stable
bSBDOx,Limnodromus griseus,Short-billed Dowitcher,22693344,Limnodromus griseus,Short-billed Dowitcher,LC,decreasing
bSBFLx,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,22700580,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,LC,stable
bSBORx,Icterus pectoralis,Spot-breasted Oriole,22724105,Icterus pectoralis,Spot-breasted Oriole,LC,decreasing
bSCORx,Icterus parisorum,Scott's Oriole,22724160,Icterus parisorum,Scott's Oriole,LC,increasing
bSCQUx,Callipepla squamata,Scaled Quail,22679594,Callipepla squamata,Scaled Quail,LC,decreasing
bSCTAx,Piranga olivacea,Scarlet Tanager,22722466,Piranga olivacea,Scarlet Tanager,LC,stable
bSEOWx,Asio flammeus,Short-eared Owl,22689531,Asio flammeus,Short-eared Owl,LC,decreasing
bSEPLx,Charadrius semipalmatus,Semipalmated Plover,22693764,Charadrius semipalmatus,Semipalmated Plover,LC,stable
bSESPx,Ammodramus maritimus,Seaside Sparrow,22721123,Ammospiza maritima,Seaside Sparrow,LC,decreasing
bSEWRx,Cistothorus platensis,Sedge Wren,103887005,Cistothorus stellaris,Sedge Wren,LC,increasing
bSHCOx,Molothrus bonariensis,Shiny Cowbird,22724345,Molothrus bonariensis,Shiny Cowbird,LC,increasing
bSMLOx,Calcarius pictus,Smith's Longspur,22721037,Calcarius pictus,Smith's Longspur,LC,stable
bSNBUx,Plectrophenax nivalis,Snow Bunting,22721043,Plectrophenax nivalis,Snow Bunting,LC,decreasing
bSNEGx,Egretta thula,Snowy Egret,22696974,Egretta thula,Snowy Egret,LC,increasing
bSNGOx,Chen caerulescens,Snow Goose,22679896,Anser caerulescens,Snow Goose,LC,increasing
bSNKIx,Rostrhamus sociabilis,Snail Kite,22695048,Rostrhamus sociabilis,Snail Kite,LC,increasing
bSNOWx,Bubo scandiacus,Snowy Owl,22689055,Bubo scandiacus,Snowy Owl,VU,decreasing
bSNPLx,Charadrius nivosus,Snowy Plover,22725033,Charadrius nivosus,Snowy Plover,NT,decreasing
bSOGRx,Dendragapus fuliginosus,Sooty Grouse,22734695,Dendragapus fuliginosus,Sooty Grouse,LC,decreasing
bSORAx,Porzana carolina,Sora,22692684,Porzana carolina,Sora,LC,increasing
bSOSAx,Tringa solitaria,Solitary Sandpiper,22693239,Tringa solitaria,Solitary Sandpiper,LC,decreasing
bSOSPx,Melospiza melodia,Song Sparrow,22721058,Melospiza melodia,Song Sparrow,LC,stable
bSOTEx,Onychoprion fuscatus,Sooty Tern,22694740,Onychoprion fuscatus,Sooty Tern,LC,unknown
bSPDOx,Streptopelia chinensis,Spotted Dove,60482887,Spilopelia chinensis,Eastern Spotted Dove,LC,increasing
bSPGRx,Falcipennis canadensis,Spruce Grouse,61204079,Falcipennis canadensis,Spruce Grouse,LC,stable
bSPOWx,Strix occidentalis,Spotted Owl,22689089,Strix occidentalis,Spotted Owl,NT,decreasing
bSPPIx,Anthus spragueii,Sprague's Pipit,22718591,Anthus spragueii,Sprague's Pipit,VU,decreasing
bSPSAx,Actitis macularius,Spotted Sandpiper,22693277,Actitis macularius,Spotted Sandpiper,LC,decreasing
bSPTOx,Pipilo maculatus,Spotted Towhee,103772680,Pipilo maculatus,Spotted Towhee,LC,stable
bSSHAx,Accipiter striatus,Sharp-shinned Hawk,22734130,Accipiter striatus,Sharp-shinned Hawk,LC,increasing
bSSTSx,Ammodramus caudacutus,Saltmarsh Sharp-tailed Sparrow,22721129,Ammospiza caudacuta,Saltmarsh Sparrow,EN,decreasing
bSTFLx,Tyrannus forficatus,Scissor-tailed Flycatcher,22700500,Tyrannus forficatus,Scissor-tailed Flycatcher,LC,decreasing
bSTGRx,Tympanuchus phasianellus,Sharp-tailed Grouse,22679511,Tympanuchus phasianellus,Sharp-tailed Grouse,LC,decreasing
bSTHAx,Buteo brachyurus,Short-tailed Hawk,22695897,Buteo brachyurus,Short-tailed Hawk,LC,increasing
bSTJAx,Cyanocitta stelleri,Steller's Jay,22705614,Cyanocitta stelleri,Steller's Jay,LC,increasing
bSTKIx,Elanoides forficatus,Swallow-tailed Kite,22695017,Elanoides forficatus,Swallow-tailed Kite,LC,increasing
bSTSAx,Calidris himantopus,Stilt Sandpiper,22693437,Calidris himantopus,Stilt Sandpiper,LC,increasing
bSURFx,Aphriza virgata,Surfbird,22693356,Calidris virgata,Surfbird,LC,decreasing
bSUSCx,Melanitta perspicillata,Surf Scoter,22680441,Melanitta perspicillata,Surf Scoter,LC,decreasing
bSUTAx,Piranga rubra,Summer Tanager,22722456,Piranga rubra,Summer Tanager,LC,stable
bSWHAx,Buteo swainsoni,Swainson's Hawk,22695903,Buteo swainsoni,Swainson's Hawk,LC,stable
bSWSPx,Melospiza georgiana,Swamp Sparrow,22721070,Melospiza georgiana,Swamp Sparrow,LC,increasing
bSWTHx,Catharus ustulatus,Swainson's Thrush,103881981,Catharus swainsoni,Swainson's Thrush,LC,unknown
bSWWAx,Limnothlypis swainsonii,Swainson's Warbler,22721776,Limnothlypis swainsonii,Swainson's Warbler,LC,increasing
bTACRx,Corvus imparatus,Tamaulipas Crow,22705996,Corvus imparatus,Tamaulipas Crow,LC,stable
bTBKIx,Tyrannus crassirostris,Thick-billed Kingbird,22700494,Tyrannus crassirostris,Thick-billed Kingbird,LC,increasing
bTBMUx,Uria lomvia,Thick-billed Murre,22694847,Uria lomvia,Thick-billed Murre,LC,increasing
bTEWAx,Vermivora peregrina,Tennessee Warbler,22721621,Leiothlypis peregrina,Tennessee Warbler,LC,stable
bTHGUx,Larus thayeri,Thayer's Gull,22729877,Larus glaucoides,Iceland Gull,LC,stable
bTOSOx,Myadestes townsendi,Townsend's Solitaire,22708587,Myadestes townsendi,Townsend's Solitaire,LC,increasing
bTOWAx,Dendroica townsendi,Townsend's Warbler,22721683,Setophaga townsendi,Townsend's Warbler,LC,stable
bTRBLx,Agelaius tricolor,Tricolored Blackbird,22724196,Agelaius tricolor,Tricolored Blackbird,EN,decreasing
bTRESx,Tachycineta bicolor,Tree Swallow,22712057,Tachycineta bicolor,Tree Swallow,LC,stable
bTRHEx,Egretta tricolor,Tricolored Heron,22696931,Egretta tricolor,Tricolored Heron,LC,stable
bTRKIx,Tyrannus melancholicus,Tropical Kingbird,22700485,Tyrannus melancholicus,Tropical Kingbird,LC,increasing
bTRPAx,Parula pitiayumi,Tropical Parula,103798640,Setophaga pitiayumi,Tropical Parula,LC,increasing
bTRUSx,Cygnus buccinator,Trumpeter Swan,22679859,Cygnus buccinator,Trumpeter Swan,LC,increasing
bTUPUx,Fratercula cirrhata,Tufted Puffin,22694934,Fratercula cirrhata,Tufted Puffin,LC,decreasing
bTUTIx,Baeolophus bicolor,Tufted Titmouse,22711983,Baeolophus bicolor,Tufted Titmouse,LC,increasing
bTUVUx,Cathartes aura,Turkey Vulture,22697627,Cathartes aura,Turkey Vulture,LC,stable
bUPSAx,Bartramia longicauda,Upland Sandpiper,22693203,Bartramia longicauda,Upland Sandpiper,LC,increasing
bVABUx,Passerina versicolor,Varied Bunting,22723954,Passerina versicolor,Varied Bunting,LC,stable
bVASWx,Chaetura vauxi,Vaux's Swift,22733935,Chaetura vauxi,Vaux's Swift,LC,increasing
bVATHx,Ixoreus naevius,Varied Thrush,22708385,Ixoreus naevius,Varied Thrush,LC,decreasing
bVCHUx,Amazilia violiceps,Violet-crowned Hummingbird,22687624,Amazilia violiceps,Violet-crowned Hummingbird,LC,unknown
bVEERx,Catharus fuscescens,Veery,22708655,Catharus fuscescens,Veery,LC,decreasing
bVEFLx,Pyrocephalus rubinus,Vermilion Flycatcher,103682912,Pyrocephalus rubinus,Common Vermilion Flycatcher,LC,decreasing
bVERDx,Auriparus flaviceps,Verdin,22711568,Auriparus flaviceps,Verdin,LC,stable
bVESPx,Pooecetes gramineus,Vesper Sparrow,22721188,Pooecetes gramineus,Vesper Sparrow,LC,decreasing
bVGSWx,Tachycineta thalassina,Violet-green Swallow,22712077,Tachycineta thalassina,Violet-green Swallow,LC,increasing
bVIRAx,Rallus limicola,Virginia Rail,22692479,Rallus limicola,Virginia Rail,LC,increasing
bVIWAx,Vermivora virginiae,Virginia's Warbler,22721630,Leiothlypis virginiae,Virginia's Warbler,LC,decreasing
bWATAx,Tringa incana,Wandering Tattler,22693305,Tringa incana,Wandering Tattler,LC,stable
bWAVIx,Vireo gilvus,Warbling Vireo,22735122,Vireo gilvus,Warbling Vireo,LC,increasing
bWBNUx,Sitta carolinensis,White-breasted Nuthatch,22711202,Sitta carolinensis,White-breasted Nuthatch,LC,increasing
bWCPIx,Patagioenas leucocephala,White-crowned Pigeon,22690229,Patagioenas leucocephala,White-crowned Pigeon,NT,decreasing
bWCSEx,Sporophila torqueola,White-collared Seedeater,22731776,Sporophila morelleti,White-collared Seedeater,LC,increasing
bWEBLx,Sialia mexicana,Western Bluebird,22708553,Sialia mexicana,Western Bluebird,LC,increasing
bWEGRx,Aechmophorus occidentalis,Western Grebe,22696631,Aechmophorus occidentalis,Western Grebe,LC,decreasing
bWEGUx,Larus occidentalis,Western Gull,22694337,Larus occidentalis,Western Gull,LC,increasing
bWEKIx,Tyrannus verticalis,Western Kingbird,22700497,Tyrannus verticalis,Western Kingbird,LC,increasing
bWEMEx,Sturnella neglecta,Western Meadowlark,22724256,Sturnella neglecta,Western Meadowlark,LC,decreasing
bWESAx,Calidris mauri,Western Sandpiper,22693376,Calidris mauri,Western Sandpiper,LC,decreasing
bWESJx,Aphelocoma californica,Western Scrub-jay,103727785,Aphelocoma californica,Western Scrub-jay,LC,stable
bWESOx,Megascops kennicottii,Western Screech-owl,22688747,Megascops kennicottii,Western Screech-owl,LC,decreasing
bWETAx,Piranga ludoviciana,Western Tanager,22722471,Piranga ludoviciana,Western Tanager,LC,increasing
bWEVIx,Vireo griseus,White-eyed Vireo,22705188,Vireo griseus,White-eyed Vireo,LC,increasing
bWEWAx,Helmitheros vermivorum,Worm-eating Warbler,22721768,Helmitheros vermivorum,Worm-eating Warbler,LC,increasing
bWEWPx,Contopus sordidulus,Western Wood-pewee,22699811,Contopus sordidulus,Western Wood-pewee,LC,decreasing
bWFIBx,Plegadis chihi,White-faced Ibis,22697426,Plegadis chihi,White-faced Ibis,LC,increasing
bWHCRx,Grus americana,Whooping Crane,22692156,Grus americana,Whooping Crane,EN,increasing
bWHIBx,Eudocimus albus,White Ibis,22697411,Eudocimus albus,White Ibis,LC,stable
bWHIMx,Numenius phaeopus,Whimbrel,22693178,Numenius phaeopus,Whimbrel,LC,decreasing
bWHSOx,Megascops trichopsis,Whiskered Screech-owl,22688766,Megascops trichopsis,Whiskered Screech-owl,LC,increasing
bWHSWx,Cygnus columbianus,Tundra Swan,22679862,Cygnus columbianus,Tundra Swan,LC,unknown
bWHWOx,Picoides albolarvatus,White-headed Woodpecker,22681169,Leuconotopicus albolarvatus,White-headed Woodpecker,LC,stable
bWIFLx,Empidonax traillii,Willow Flycatcher,22699848,Empidonax traillii,Willow Flycatcher,LC,decreasing
bWILLx,Tringa semipalmata,Willet,22693319,Tringa semipalmata,Willet,LC,stable
bWIPHx,Phalaropus tricolor,Wilson's Phalarope,22693472,Steganopus tricolor,Wilson's Phalarope,LC,increasing
bWIPLx,Charadrius wilsonia,Wilson's Plover,22693774,Charadrius wilsonia,Wilson's Plover,LC,decreasing
bWISAx,Sphyrapicus thyroideus,Williamson's Sapsucker,22680877,Sphyrapicus thyroideus,Williamson's Sapsucker,LC,stable
bWISNx,Gallinago delicata,Wilson's Snipe,22729867,Gallinago delicata,Wilson's Snipe,LC,decreasing
bWITUx,Meleagris gallopavo,Wild Turkey,22679525,Meleagris gallopavo,Wild Turkey,LC,increasing
bWIWAx,Wilsonia pusilla,Wilson's Warbler,22721879,Cardellina pusilla,Wilson's Warbler,LC,decreasing
bWIWRx,Troglodytes troglodytes,Winter Wren,103885731,Troglodytes hiemalis,Winter Wren,LC,unknown
bWODUx,Aix sponsa,Wood Duck,22680104,Aix sponsa,Wood Duck,LC,increasing
bWOSTx,Mycteria americana,Wood Stork,22697648,Mycteria americana,Wood Stork,LC,decreasing
bWOTHx,Hylocichla mustelina,Wood Thrush,22708670,Hylocichla mustelina,Wood Thrush,NT,decreasing
bWPWIx,Caprimulgus vociferus,Whip-poor-will,22736393,Antrostomus vociferus,Eastern Whip-poor-will,NT,decreasing
bWRENx,Chamaea fasciata,Wrentit,22716861,Chamaea fasciata,Wrentit,LC,stable
bWTDOx,Leptotila verreauxi,White-tipped Dove,22690854,Leptotila verreauxi,White-tipped Dove,LC,increasing
bWTHAx,Buteo albicaudatus,White-tailed Hawk,22695906,Geranoaetus albicaudatus,White-tailed Hawk,LC,increasing
bWTKIx,Elanus leucurus,White-tailed Kite,22695036,Elanus leucurus,White-tailed Kite,LC,increasing
bWTPTx,Lagopus leucura,White-tailed Ptarmigan,22679473,Lagopus leucura,White-tailed Ptarmigan,LC,decreasing
bWTSPx,Zonotrichia albicollis,White-throated Sparrow,22721085,Zonotrichia albicollis,White-throated Sparrow,LC,stable
bWTSWx,Aeronautes saxatalis,White-throated Swift,22686733,Aeronautes saxatalis,White-throated Swift,LC,decreasing
bWWCRx,Loxia leucoptera,White-winged Crossbill,22728944,Loxia leucoptera,Two-barred Crossbill,LC,decreasing
bWWDOx,Zenaida asiatica,White-winged Dove,22733956,Zenaida asiatica,White-winged Dove,LC,increasing
bWWSCx,Melanitta fusca,White-winged Scoter,22734194,Melanitta deglandi,White-winged Scoter,LC,decreasing
bXAMUx,Synthliboramphus hypoleucus,Xantus's Murrelet,62101215,Synthliboramphus hypoleucus,Guadalupe Murrelet,EN,decreasing
bYBCHx,Icteria virens,Yellow-breasted Chat,22722057,Icteria virens,Yellow-breasted Chat,LC,stable
bYBCUx,Coccyzus americanus,Yellow-billed Cuckoo,22684331,Coccyzus americanus,Yellow-billed Cuckoo,LC,decreasing
bYBFLx,Empidonax flaviventris,Yellow-bellied Flycatcher,22699839,Empidonax flaviventris,Yellow-bellied Flycatcher,LC,increasing
bYBMAx,Pica nuttalli,Yellow-billed Magpie,22705874,Pica nutalli,Yellow-billed Magpie,VU,stable
bYBSAx,Sphyrapicus varius,Yellow-bellied Sapsucker,22680868,Sphyrapicus varius,Yellow-bellied Sapsucker,LC,decreasing
bYCNHx,Nyctanassa violacea,Yellow-crowned Night-heron,22697203,Nyctanassa violacea,Yellow-crowned Night-heron,LC,stable
bYEJUx,Junco phaeonotus,Yellow-eyed Junco,103778667,Junco phaeonotus,Yellow-eyed Junco,LC,decreasing
bYERAx,Coturnicops noveboracensis,Yellow Rail,22692275,Coturnicops noveboracensis,Yellow Rail,LC,stable
bYFGUx,Larus livens,Yellow-footed Gull,22694340,Larus livens,Yellow-footed Gull,LC,stable
bYGVIx,Vireo flavoviridis,Yellow-green Vireo,22705248,Vireo flavoviridis,Yellow-green Vireo,LC,stable
bYHBLx,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,22724169,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,LC,increasing
bYRWAx,Dendroica coronata,Yellow-rumped Warbler,103798425,Setophaga coronata,Myrtle Warbler,LC,unknown
bYTVIx,Vireo flavifrons,Yellow-throated Vireo,22705237,Vireo flavifrons,Yellow-throated Vireo,LC,increasing
bYTWAx,Dendroica dominica,Yellow-throated Warbler,22724793,Setophaga dominica,Yellow-throated Warbler,LC,increasing
bYWARx,Dendroica petechia,Yellow Warbler,22721657,Setophaga petechia,American Yellow Warbler,LC,stable
bZTHAx,Buteo albonotatus,Zone-tailed Hawk,22695926,Buteo albonotatus,Zone-tailed Hawk,LC,increasing
mABBEx,Ursus americanus,American Black Bear,41687,Ursus americanus,American Black Bear,LC,increasing
mABEBx,Idionycteris phyllotis,Allen's Big-eared Bat,10790,Idionycteris phyllotis,Allen's Big-eared Bat,LC,stable
mABSQx,Sciurus aberti,Abert's Squirrel,42461,Sciurus aberti,Abert's Squirrel,LC,stable
mACRAx,Sigmodon arizonae,Arizona Cotton Rat,20211,Sigmodon arizonae,Arizona Cotton Rat,LC,unknown
mACSHx,Sorex arcticus,Arctic Shrew,41385,Sorex arcticus,Arctic Shrew,LC,stable
mAGSQx,Sciurus arizonensis,Arizona Gray Squirrel,20005,Sciurus arizonensis,Arizona Gray Squirrel,DD,unknown
mAHNSx,Conepatus leuconotus,American Hog-nosed Skunk,41632,Conepatus leuconotus,American Hog-nosed Skunk,LC,decreasing
mAKRAx,Dipodomys agilis,Agile Kangaroo Rat,6684,Dipodomys agilis,Agile Kangaroo Rat,LC,decreasing
mALCHx,Tamias alpinus,Alpine Chipmunk,42568,Neotamias alpinus,Alpine Chipmunk,LC,stable
mALWOx,Neotoma magister,Allegheny Woodrat,14581,Neotoma magister,Allegheny Woodrat,NT,decreasing
mAMBAx,Taxidea taxus,American Badger,41663,Taxidea taxus,American Badger,LC,decreasing
mAMBEx,Castor canadensis,American Beaver,4003,Castor canadensis,American Beaver,LC,stable
mAMMAx,Martes americana,American Marten,41648,Martes americana,American Marten,LC,decreasing
mAMMIx,Neovison vison,American Mink,41661,Neovison vison,American Mink,LC,stable
mANJAx,Lepus alleni,Antelope Jackrabbit,41272,Lepus alleni,Antelope Jackrabbit,LC,stable
mAPCOx,Sylvilagus obscurus,Appalachian Cottontail,41301,Sylvilagus obscurus,Appalachian Cottontail,NT,decreasing
mAPGOx,Geomys attwateri,Attwater's Pocket Gopher,136380,Geomys attwateri,Attwater's Pocket Gopher,LC,stable
mAPMOx,Perognathus amplus,Arizona Pocket Mouse,16633,Perognathus amplus,Arizona Pocket Mouse,LC,stable
mAPSHx,Sorex hoyi,American Pygmy Shrew,41400,Sorex hoyi,American Pygmy Shrew,LC,stable
mARMYx,Myotis occultus,Arizona Myotis,136650,Myotis occultus,Arizona Myotis,LC,stable
mARSHx,Sorex arizonae,Arizona Shrew,20396,Sorex arizonae,Arizona Shrew,LC,unknown
mAWSHx,Sorex palustris,American Water Shrew,41410,Sorex palustris,American Water Shrew,LC,stable
mAZWOx,Neotoma devia,Arizona Woodrat,14586,Neotoma devia,Arizona Woodrat,LC,stable
mBASHx,Ammotragus lervia,Barbary Sheep,1151,Ammotragus lervia,Aoudad,VU,decreasing
mBBBAx,Eptesicus fuscus,Big Brown Bat,7928,Eptesicus fuscus,Big Brown Bat,LC,increasing
mBCPMx,Chaetodipus rudinoris,Baja California Pocket Mouse,136837,Chaetodipus rudinoris,Baja Pocket Mouse,LC,stable
mBDSHx,Sorex bairdi,Baird's Shrew,41387,Sorex bairdi,Baird's Shrew,LC,unknown
mBEDEx,Peromyscus melanotis,Black-eared Deermouse,16678,Peromyscus melanotis,Black-eared Mouse,LC,unknown
mBEWOx,Neotoma macrotis,Big-eared Woodrat,14597,Neotoma macrotis,Big-eared Woodrat,LC,unknown
mBFFEx,Mustela nigripes,Black-footed Ferret,14020,Mustela nigripes,Black-footed Ferret,EN,decreasing
mBFMOx,Scapanus latimanus,Broad-footed Mole,41473,Scapanus latimanus,Broad-footed Mole,LC,stable
mBFTBx,Nyctinomops macrotis,Big Free-tailed Bat,14996,Nyctinomops macrotis,Big Free-tailed Bat,LC,unknown
mBGSQx,Urocitellus beldingi,Belding's Ground Squirrel,42464,Urocitellus beldingi,Belding's Ground Squirrel,LC,stable
mBISHx,Ovis canadensis,Bighorn Sheep,15735,Ovis canadensis,Bighorn Sheep,LC,stable
mBISOx,Bison bison,American Bison,2815,Bison bison,American Bison,NT,stable
mBOBCx,Lynx rufus,Bobcat,12521,Lynx rufus,Bobcat,LC,stable
mBOGOx,Thomomys bottae,Botta's Pocket Gopher,21799,Thomomys bottae,Botta's Pocket Gopher,LC,stable
mBPGOx,Geomys breviceps,Baird's Pocket Gopher,136840,Geomys breviceps,Baird's Pocket Gopher,LC,stable
mBPMOx,Chaetodipus baileyi,Bailey's Pocket Mouse,4328,Chaetodipus baileyi,Bailey's Pocket Mouse,LC,stable
mBRBEx,Ursus arctos,Brown Bear,41688,Ursus arctos,Brown Bear,LC,stable
mBRDEx,Peromyscus boylii,Brush Deermouse,16652,Peromyscus boylii,Brush Mouse,LC,stable
mBRRAx,Sylvilagus bachmani,Brush Rabbit,41302,Sylvilagus bachmani,Brush Rabbit,LC,stable
mBTJAx,Lepus californicus,Black-tailed Jackrabbit,41276,Lepus californicus,Black-tailed Jackrabbit,LC,stable
mBTKRx,Dipodomys spectabilis,Banner-tailed Kangaroo Rat,6693,Dipodomys spectabilis,Banner-tailed Kangaroo Rat,NT,decreasing
mBTWOx,Neotoma cinerea,Bushy-tailed Woodrat,42673,Neotoma cinerea,Bushy-tailed Woodrat,LC,stable
mCADEx,Peromyscus californicus,California Deermouse,16654,Peromyscus californicus,California Mouse,LC,stable
mCALYx,Lynx canadensis,Canadian Lynx,12518,Lynx canadensis,Canada Lynx,LC,stable
mCAMYx,Myotis californicus,Californian Myotis,14150,Myotis californicus,Californian Myotis,LC,unknown
mCARIx,Rangifer tarandus,Caribou,29742,Rangifer tarandus,Reindeer,VU,decreasing
mCASEx,Zalophus californianus,California Sealion,41666,Zalophus californianus,Californian Sea Lion,LC,increasing
mCASQx,Otospermophilus beecheyi,California Ground Squirrel,20481,Otospermophilus beecheyi,California Ground Squirrel,LC,stable
mCAVOx,Microtus californicus,California Vole,13427,Microtus californicus,Amargosa Vole,LC,stable
mCCDEx,Peromyscus eremicus,Cactus Deermouse,16659,Peromyscus eremicus,Cactus Mouse,LC,stable
mCFCHx,Tamias obscurus,California Chipmunk,21359,Neotamias obscurus,California Chipmunk,LC,stable
mCGGSx,Callospermophilus saturatus,Cascade Golden-mantled Ground Squirrel,42562,Callospermophilus saturatus,Cascade Golden-mantled Ground Squirrel,LC,stable
mCGMOx,Onychomys arenicola,Chihuahuan Grasshopper Mouse,15337,Onychomys arenicola,Chihuahuan Grasshopper Mouse,LC,stable
mCGSHx,Notiosorex cockrumi,Cockrum's Gray Shrew,136666,Notiosorex cockrumi,Cockrum's Grey Shrew,LC,stable
mCHITx,Axis axis,Chital,41783,Axis axis,Chital,LC,unknown
mCHPMx,Chaetodipus eremicus,Chihuahuan Pocket Mouse,136606,Chaetodipus eremicus,Chihuahuan Desert Pocket Mouse,LC,unknown
mCISHx,Sorex cinereus,Cinereus Shrew,41392,Sorex cinereus,Cinereus Shrew,LC,stable
mCKRAx,Dipodomys californicus,California Kangaroo Rat,42599,Dipodomys californicus,California Kangaroo Rat,LC,stable
mCLCHx,Tamias dorsalis,Cliff Chipmunk,42571,Neotamias dorsalis,Gray-collared Chipmunk,LC,stable
mCLEBx,Macrotus californicus,Californian Leaf-nosed Bat,12652,Macrotus californicus,Californian Leaf-nosed Bat,LC,stable
mCMMUx,Ondatra zibethicus,Common Muskrat,15324,Ondatra zibethicus,Muskrat,LC,stable
mCNDEx,Peromyscus crinitus,Canyon Deermouse,16656,Peromyscus crinitus,Canyon Mouse,LC,stable
mCOCHx,Tamias quadrivittatus,Colorado Chipmunk,42576,Neotamias quadrivittatus,Colorado Chipmunk,LC,stable
mCODEx,Peromyscus gossypinus,Cotton Deermouse,42653,Peromyscus gossypinus,Key Largo Cotton Mouse,LC,stable
mCOORx,Oryzomys couesi,Coues' Oryzomys,15592,Oryzomys couesi,Coues's Rice Rat,LC,unknown
mCOPEx,Pecari tajacu,Collared Peccary,41777,Pecari tajacu,Collared Peccary,LC,stable
mCOSQx,Urocitellus columbianus,Columbian Ground Squirrel,42466,Urocitellus columbianus,Columbian Ground Squirrel,LC,stable
mCOUGx,Puma concolor,Cougar,18868,Puma concolor,Puma,LC,decreasing
mCOYOx,Canis latrans,Coyote,3745,Canis latrans,Coyote,LC,increasing
mCOYPx,Myocastor coypus,Coypu,14085,Myocastor coypus,Coypu,LC,decreasing
mCPGOx,Thomomys bulbivorus,Camas Pocket Gopher,42594,Thomomys bulbivorus,Camas Pocket Gopher,LC,stable
mCPMOx,Chaetodipus californicus,California Pocket Mouse,4329,Chaetodipus californicus,California Pocket Mouse,LC,stable
mCRGSx,Notiosorex crawfordi,Crawford's Gray Shrew,41456,Notiosorex crawfordi,Desert Shrew,LC,stable
mCRVOx,Microtus oregoni,Creeping Vole,42632,Microtus oregoni,Creeping Vole,LC,stable
mCSMOx,Scapanus orarius,Coast Mole,41474,Scapanus orarius,Coast Mole,LC,stable
mCTKRx,Dipodomys microps,Chisel-toothed Kangaroo Rat,42603,Dipodomys microps,Houserock Chisel-toothed Kangaroo Rat,LC,stable
mCTPGx,Geomys texensis,Central Texas Pocket Gopher,9062,Geomys texensis,Central Texas Pocket Gopher,LC,unknown
mCVMYx,Myotis velifer,Cave Myotis,14208,Myotis velifer,Cave Myotis,LC,stable
mDECOx,Sylvilagus audubonii,Desert Cottontail,41297,Sylvilagus audubonii,Desert Cottontail,LC,stable
mDEWOx,Neotoma lepida,Desert Woodrat,116988741,Neotoma lepida,Desert Woodrat,LC,stable
mDFWOx,Neotoma fuscipes,Dusky-footed Woodrat,14587,Neotoma fuscipes,Dusky-footed Woodrat,LC,stable
mDKMOx,Microdipodops megacephalus,Dark Kangaroo Mouse,42606,Microdipodops megacephalus,Owyhee River Kangaroo Mouse,LC,decreasing
mDKRAx,Dipodomys deserti,Desert Kangaroo Rat,6686,Dipodomys deserti,Desert Kangaroo Rat,LC,stable
mDOSQx,Tamiasciurus douglasii,Douglas's Squirrel,42586,Tamiasciurus douglasii,Douglas's Squirrel,LC,stable
mDPGOx,Geomys arenarius,Desert Pocket Gopher,9054,Geomys arenarius,Desert Pocket Gopher,NT,unknown
mDPMOx,Chaetodipus penicillatus,Desert Pocket Mouse,4336,Chaetodipus penicillatus,Desert Pocket Mouse,LC,stable
mDUSHx,Sorex monticolus,Dusky Shrew,41405,Sorex monticolus,Montane Shrew,LC,stable
mDWSHx,Sorex nanus,Dwarf Shrew,41406,Sorex nanus,Dwarf Shrew,LC,unknown
mDZRAx,Dipodomys simulans,Dulzura Kangaroo Rat,136630,Dipodomys simulans,Dulzura Kangaroo Rat,LC,unknown
