Taxa,Spp,totalSppPix,Rank
B,bRUHUx,295697592,325.0
B,bRUTUx,4063457,38.0
B,bRWBLx,2250743727,546.0
B,bRWSPx,17202500,88.0
B,bSACRx,86194271,202.0
B,bSAGSx,902819852,448.0
B,bSANDx,8819155,62.0
B,bSAPHx,1719213399,520.0
B,bSATEx,48288589,157.0
B,bSATHx,1330088776,497.0
B,bSAVSx,3167170543,575.0
B,bSBAOx,216583,12.0
B,bSBDOx,25069455,112.0
B,bSBFLx,85286,5.0
B,bSBORx,5410738,41.0
B,bSCORx,392917709,351.0
B,bSCQUx,408219689,358.0
B,bSCTAx,937395361,454.0
B,bSEOWx,5091794005,609.0
B,bSEPLx,166443486,263.0
B,bSESPx,32957527,130.0
B,bSEWRx,335536827,333.0
B,bSHCOx,12032324,71.0
B,bSMLOx,490144599,380.0
B,bSNBUx,2029641443,536.0
B,bSNEGx,228446137,299.0
B,bSNGOx,820223439,434.0
B,bSNKIx,13637425,77.0
B,bSNOWx,1438098153,508.0
B,bSNPLx,9216327,64.0
B,bSOGRx,77830107,195.0
B,bSORAx,158119144,257.0
B,bSOSAx,7911647,55.0
B,bSOSPx,3651420933,585.0
B,bSOTEx,15745881,84.0
B,bSPDOx,11935233,69.0
B,bSPGRx,206014356,288.0
B,bSPOWx,197471919,283.0
B,bSPPIx,292335101,323.0
B,bSPSAx,1660184253,516.0
B,bSPTOx,1430652063,506.0
B,bSSHAx,5557403336,612.0
B,bSSTSx,19153269,98.0
B,bSTFLx,1040730299,466.0
B,bSTGRx,781505611,428.0
B,bSTHAx,6648123,50.0
B,bSTJAx,925661244,451.0
B,bSTKIx,232559957,302.0
B,bSTSAx,26128956,116.0
B,bSURFx,819402,20.0
B,bSUSCx,50866142,162.0
B,bSUTAx,1236442541,485.0
B,bSWHAx,4010602330,591.0
B,bSWSPx,265762389,312.0
B,bSWTHx,600176238,405.0
B,bSWWAx,289030528,320.0
B,bTACRx,9429956,65.0
B,bTBKIx,6458008,48.0
B,bTBMUx,21377712,107.0
B,bTEWAx,144068227,249.0
B,bTHGUx,287491839,318.0
B,bTOSOx,889937216,443.0
B,bTOWAx,373413043,345.0
B,bTRBLx,5060730,39.0
B,bTRESx,1256781051,488.0
B,bTRHEx,44813443,151.0
B,bTRKIx,51004,1.0
B,bTRPAx,14973435,82.0
B,bTRUSx,49417440,158.0
B,bTUPUx,30477075,126.0
B,bTUTIx,1840958164,525.0
B,bTUVUx,8149437717,620.0
B,bUPSAx,813483341,433.0
B,bVABUx,100976692,216.0
B,bVASWx,171821475,268.0
B,bVATHx,534460746,391.0
B,bVCHUx,23381553,109.0
B,bVEERx,515441557,389.0
B,bVEFLx,406652724,357.0
B,bVERDx,483852201,377.0
B,bVESPx,2981846490,572.0
B,bVGSWx,1273584752,489.0
B,bVIRAx,168949019,267.0
B,bVIWAx,553013860,396.0
B,bWATAx,67515,2.0
B,bWAVIx,1130215412,475.0
B,bWBNUx,2000176964,532.0
B,bWCPIx,2975660,34.0
B,bWCSEx,2373291,33.0
