gapSppCode,gapSciName,gapComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,iucnOgn
aCHSAx,Plethodon cheoah,Cheoah Bald Salamander,59333,Plethodon cheoah,Cheoah Bald Salamander,VU,stable,Native
aCISSx,Batrachoseps pacificus,Channel Islands Slender Salamander,59131,Batrachoseps pacificus,Channel Islands Slender Salamander,LC,stable,Native
aCKSAx,Plethodon punctatus,Cow Knob Salamander,59351,Plethodon punctatus,White-spotted Salamander,NT,stable,Native
aCLFRx,Lithobates chiricahuensis,Chiricahua Leopard Frog,58575,Lithobates chiricahuensis,Chiricahua Leopard Frog,VU,decreasing,Native
aCLSAx,Aneides ferreus,Clouded Salamander,59115,Aneides ferreus,Clouded Salamander,NT,decreasing,Native
aCMDSx,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,59247,Desmognathus carolinensis,Carolina Mountain Dusky Salamander,LC,stable,Native
aCMSAx,Plethodon caddoensis,Caddo Mountain Salamander,17630,Plethodon caddoensis,Caddo Mountain Salamander,NT,unknown,Native
aCMTSx,Plethodon nettingi,Cheat Mountain Salamander,17627,Plethodon nettingi,Cheat Mountain Salamander,NT,stable,Native
aCOFRx,Rana luteiventris,Columbia Spotted Frog,58649,Rana luteiventris,Columbia Spotted Frog,LC,decreasing,Native
aCOGSx,Dicamptodon tenebrosus,Coastal Giant Salamander,59081,Dicamptodon tenebrosus,Coastal Giant Salamander,LC,stable,Native
aCOSAx,Plethodon idahoensis,Coeur D'alene Salamander,59342,Plethodon idahoensis,Coeur D'Alene Salamander,LC,unknown,Native
aCOSPx,Scaphiopus couchii,Couch's Spadefoot,59041,Scaphiopus couchii,Couch's Spadefoot Toad,LC,stable,Native
aCPSAx,Plethodon kentucki,Cumberland Plateau Salamander,59344,Plethodon kentucki,Cumberland Plateau Salamander,LC,stable,Native
aCRFRx,Lithobates virgatipes,Carpenter Frog,58747,Lithobates virgatipes,Carpenter Frog,LC,unknown,Native
aCRLFx,Rana draytonii,California Red-legged Frog,136113,Rana draytonii,California Red-legged Frog,VU,decreasing,Native
aCSFRx,Rana cascadae,Cascades Frog,19176,Rana cascadae,Cascades Frog,NT,decreasing,Native
aCSLSx,Batrachoseps attenuatus,California Slender Salamander,59120,Batrachoseps attenuatus,California Slender Salamander,LC,stable,Native
aCTFRx,Ascaphus truei,Coastal Tailed Frog,54414,Ascaphus truei,Coastal Tailed Frog,LC,unknown,Native
aCTGSx,Ambystoma californiense,California Tiger Salamander,1098,Ambystoma californiense,California Tiger Salamander,VU,decreasing,Native
aCTOSx,Rhyacotriton kezeri,Columbia Torrent Salamander,59436,Rhyacotriton kezeri,Columbia Torrent Salamander,NT,stable,Native
aCTRSx,Rhyacotriton cascadae,Cascade Torrent Salamander,59435,Rhyacotriton cascadae,Cascade Torrent Salamander,NT,decreasing,Native
aCUDSx,Desmognathus abditus,Cumberland Dusky Salamander,61902,Desmognathus abditus,Cumberland Dusky Salamander,NT,unknown,Native
aCUTRx,Osteopilus septentrionalis,Cuban Treefrog,55811,Osteopilus septentrionalis,Cuban Treefrog,LC,increasing,Introduced
aCVSAx,Eurycea lucifuga,Cave Salamander,59269,Eurycea lucifuga,Cave Salamander,LC,unknown,Native
aCWFRx,Lithobates areolatus,Crawfish Frog,58546,Lithobates areolatus,Crawfish Frog,NT,decreasing,Native
aCYTRx,Hyla arenicolor,Canyon Treefrog,55396,Dryophytes arenicolor,Canyon Treefrog,LC,stable,Native
aDBBSx,Desmognathus folkertsi,Dwarf Black-bellied Salamander,59248,Desmognathus folkertsi,Dwarf Black-bellied Salamander,DD,unknown,Native
aDGFRx,Lithobates sevosus,Dusky Gopher Frog,58714,Lithobates sevosus,Dusky Gopher Frog,CR,decreasing,Native
aDNSAx,Plethodon elongatus,Del Norte Salamander,59339,Plethodon elongatus,Del Norte Salamander,NT,decreasing,Native
aDUSAx,Plethodon dunni,Dunn's Salamander,59337,Plethodon dunni,Dunn's Salamander,LC,stable,Native
aDWSAx,Eurycea quadridigitata,Dwarf Salamander,59274,Eurycea quadridigitata,Dwarf Salamander,LC,stable,Native
aDWWAx,Necturus punctatus,Dwarf Waterdog,59434,Necturus punctatus,Dwarf Waterdog,LC,unknown,Native
aEANEx,Notophthalmus viridescens,Eastern Newt,59453,Notophthalmus viridescens,Eastern Newt,LC,stable,Native
aEASPx,Scaphiopus holbrookii,Eastern Spadefoot,59042,Scaphiopus holbrookii,Eastern Spadefoot,LC,stable,Native
aENMTx,Gastrophryne carolinensis,Eastern Narrow-mouthed Toad,57813,Gastrophryne carolinensis,Eastern Narrowmouth Toad,LC,stable,Native
aENSAx,Ensatina eschscholtzii,Ensatina,59260,Ensatina eschscholtzii,Ensatina,LC,stable,Native
aERBSx,Plethodon cinereus,Eastern Red-backed Salamander,59334,Plethodon cinereus,Eastern Red-backed Salamander,LC,stable,Native
aETSAx,Ambystoma tigrinum,Eastern Tiger Salamander,83293207,Ambystoma tigrinum,Tiger Salamander,LC,stable,Native
aFBFRx,Lithobates okaloosae,Florida Bog Frog,58684,Lithobates okaloosae,Florida Bog Frog,VU,unknown,Native
aFBSAx,Eurycea pterophila,Fern Bank Salamander,59273,Eurycea pterophila,Blanco River Springs Salamander,DD,unknown,Native
aFFSAx,Ambystoma cingulatum,Frosted Flatwoods Salamander,1099,Ambystoma cingulatum,Frosted Flatwoods Salamander,VU,decreasing,Native
aFMSAx,Plethodon fourchensis,Fourch Mountain Salamander,17631,Plethodon fourchensis,Fourche Mountain Salamander,VU,unknown,Native
aFOTOx,Anaxyrus fowleri,Fowler's Toad,54640,Anaxyrus fowleri,Fowler's Toad,LC,stable,Native
aFTSAx,Hemidactylium scutatum,Four-toed Salamander,59285,Hemidactylium scutatum,Four-toed Salamander,LC,stable,Native
aFYLFx,Rana boylii,Foothill Yellow-legged Frog,19175,Rana boylii,Yellow-legged Frog,NT,decreasing,Native
aGBSAx,Haideotriton wallacei,Georgia Blind Salamander,59284,Eurycea wallacei,Georgia Blind Salamander,VU,unknown,Native
aGBSPx,Spea intermontana,Great Basin Spadefoot,59046,Spea intermontana,Great Basin Spadefoot,LC,stable,Native
aGESAx,Eurycea naufragia,Georgetown Salamander,59271,Eurycea naufragia,San Gabriel Springs Salamander,EN,decreasing,Native
aGGSAx,Batrachoseps gregarius,Gregarious Salamander,59124,Batrachoseps gregarius,Gregarious Slender Salamander,LC,stable,Native
aGHFRx,Eleutherodactylus planirostris,Greenhouse Frog,56864,Eleutherodactylus planirostris,Greenhouse Frog,LC,stable,Introduced
aGMSSx,Batrachoseps gavilanensis,Gabilan Mountains Slender Salamander,59123,Batrachoseps gavilanensis,Gabilan Mountains Slender Salamander,LC,stable,Native
aGOFRx,Lithobates capito,Gopher Frog,58564,Lithobates capito,Gopher Frog,NT,decreasing,Native
aGPTOx,Anaxyrus cognatus,Great Plains Toad,54612,Anaxyrus cognatus,Great Plains Toad,LC,unknown,Native
aGRFRx,Lithobates clamitans,Green Frog,58578,Lithobates clamitans,Green Frog,LC,stable,Native
aGRSAx,Aneides aeneus,Green Salamander,1282,Aneides aeneus,Green Salamander,NT,decreasing,Native
aGRSIx,Siren lacertina,Greater Siren,59492,Siren lacertina,Greater Siren,LC,unknown,Native
aGRTOx,Anaxyrus debilis,Green Toad,54626,Anaxyrus debilis,Sapo Verde,LC,stable,Native
aGRTRx,Hyla cinerea,Green Treefrog,55449,Dryophytes cinereus,American Green Treefrog,LC,stable,Native
aGSALx,Eurycea spelaea,Grotto Salamander,22707,Eurycea spelaea,Grotto Salamander,LC,unknown,Native
aGSSAx,Batrachoseps major,Garden Slender Salamander,59128,Batrachoseps major,Garden Slender Salamander,LC,stable,Native
aGUWAx,Necturus beyeri,Gulf Coast Waterdog,59431,Necturus beyeri,Gulf Coast Waterdog,LC,unknown,Native
aGYTRx,Hyla versicolor,Gray Treefrog,55687,Dryophytes versicolor,Gray Treefrog,LC,stable,Native
aHELLx,Cryptobranchus alleganiensis,Hellbender,59077,Cryptobranchus alleganiensis,Hellbender,NT,decreasing,Native
aHHSSx,Batrachoseps diabolicus,Hell Hollow Slender Salamander,59121,Batrachoseps diabolicus,Hell Hollow Slender Salamander,DD,unknown,Native
aHOTOx,Anaxyrus houstonensis,Houston Toad,3170,Anaxyrus houstonensis,Houston Toad,EN,decreasing,Native
aHUSPx,Scaphiopus hurterii,Hurter's Spadefoot,59043,Scaphiopus hurterii,Hurter's Spadefoot,LC,stable,Native
aIGSAx,Dicamptodon aterrimus,Idaho Giant Salamander,59078,Dicamptodon aterrimus,Idaho Giant Salamander,LC,stable,Native
aIMSAx,Desmognathus imitator,Imitator Salamander,59250,Desmognathus imitator,Imitator Salamander,LC,stable,Native
aINSAx,Batrachoseps campi,Inyo Mountains Salamander,2649,Batrachoseps campi,Inyo Mountains Salamander,EN,decreasing,Native
aJESAx,Ambystoma jeffersonianum,Jefferson Salamander,59059,Ambystoma jeffersonianum,Jefferson Salamander,LC,stable,Native
aJMSAx,Plethodon neomexicanus,Jemez Mountains Salamander,17626,Plethodon neomexicanus,Jemez Mountains Salamander,NT,stable,Native
aJPSAx,Eurycea tonkawae,Jollyville Plateau Salamander,59275,Eurycea tonkawae,Jollyville Plateau Salamander,EN,decreasing,Native
aJUSAx,Eurycea junaluska,Junaluska Salamander,59266,Eurycea junaluska,Junaluska Salamander,VU,stable,Native
aKCSSx,Batrachoseps simatus,Kern Canyon Slender Salamander,2647,Batrachoseps simatus,Kern Canyon Slender Salamander,VU,stable,Native
aKPSAx,Batrachoseps robustus,Kern Plateau Salamander,59133,Batrachoseps robustus,Kern Plateau Salamander,NT,stable,Native
aKRSSx,Batrachoseps regius,Kings River Slender Salamander,59132,Batrachoseps regius,Kings River Slender Salamander,VU,stable,Native
aKSSAx,Plethodon kiamichi,Kiamichi Slimy Salamander,59345,Plethodon kiamichi,Kiamichi Slimy Salamander,DD,unknown,Native
aLASAx,Plethodon kisatchie,Louisiana Slimy Salamander,59346,Plethodon kisatchie,Louisiana Slimy Salamander,LC,unknown,Native
aLBTRx,Smilisca fodiens,Lowland Burrowing Treefrog,55907,Smilisca fodiens,Lowland Burrowing Treefrog,LC,stable,Native
aLESIx,Siren intermedia,Lesser Siren,59491,Siren intermedia,Lesser Siren,LC,unknown,Native
aLGFRx,Pseudacris ocularis,Little Grass Frog,55895,Pseudacris ocularis,Little Grass Frog,LC,stable,Native
aLISAx,Hydromantes brunus,Limestone Salamander,10304,Hydromantes brunus,Limestone Salamander,VU,unknown,Native
aLLFRx,Lithobates yavapaiensis,Lowland Leopard Frog,19181,Lithobates yavapaiensis,Rana De Yavapai,LC,decreasing,Native
aLMSAx,Plethodon larselli,Larch Mountain Salamander,17625,Plethodon larselli,Larch Mountain Salamander,NT,stable,Native
aLSSAx,Batrachoseps minor,Lesser Slender Salamander,59129,Batrachoseps minor,Lesser Slender Salamander,DD,unknown,Native
aLTASx,Eurycea longicauda,Long-tailed Salamander,59268,Eurycea longicauda,Longtail Salamander,LC,stable,Native
aLTOPx,Ambystoma macrodactylum,Long-toed Salamander,59063,Ambystoma macrodactylum,Long-toed Salamander,LC,stable,Native
aMASAx,Ambystoma opacum,Marbled Salamander,59065,Ambystoma opacum,Marbled Salamander,LC,stable,Native
aMBSAx,Ambystoma mabeei,Mabee's Salamander,59062,Ambystoma mabeei,Mabee's Salamander,LC,decreasing,Native
aMCFRx,Pseudacris brachyphona,Mountain Chorus Frog,55888,Pseudacris brachyphona,Mountain Chorus Frog,LC,unknown,Native
aMIFRx,Lithobates septentrionalis,Mink Frog,58713,Lithobates septentrionalis,Mink Frog,LC,stable,Native
aMLSAx,Stereochilus marginatus,Many-lined Salamander,59406,Stereochilus marginatus,Many-lined Salamander,LC,unknown,Native
aMLYSx,Hydromantes platycephalus,Mount Lyell Salamander,59286,Hydromantes platycephalus,Mount Lyell Salamander,LC,stable,Native
aMOSAx,Ambystoma talpoideum,Mole Salamander,59069,Ambystoma talpoideum,Mole Salamander,LC,stable,Native
aMRSAx,Eurycea multiplicata,Many-ribbed Salamander,59270,Eurycea multiplicata,Many-ribbed Salamander,LC,stable,Native
aMUDPx,Necturus maculosus,Mudpuppy,59433,Necturus maculosus,Mudpuppy,LC,stable,Native
aMUSAx,Pseudotriton montanus,Mud Salamander,59403,Pseudotriton montanus,Mud Salamander,LC,unknown,Native
aMWLFx,Leptodactylus fragilis,Mexican White-lipped Frog,57127,Leptodactylus fragilis,American White Lipped Frog,LC,stable,Native
aMXSPx,Spea multiplicata,Mexican Spadefoot,59047,Spea multiplicata,New Mexico Spadefoot,LC,stable,Native
aMXTRx,Smilisca baudinii,Mexican Treefrog,56006,Smilisca baudinii,Common Mexican Treefrog,LC,stable,Native
aNCFRx,Acris crepitans,Northern Cricket Frog,55286,Acris crepitans,Northern Cricket Frog,LC,stable,Native
aNDSAx,Desmognathus fuscus,Northern Dusky Salamander,59249,Desmognathus fuscus,Dusky Salamander,LC,stable,Native
aNDSIx,Pseudobranchus striatus,Northern Dwarf Siren,59490,Pseudobranchus striatus,Dwarf Siren,LC,stable,Native
aNGCSx,Plethodon montanus,Northern Gray-cheeked Salamander,59349,Plethodon montanus,Northern Gray-cheeked Salamander,LC,stable,Native
aNJFRx,Pseudacris kalmi,New Jersey Chorus Frog,136134,Pseudacris kalmi,New Jersey Chorus Frog,LC,stable,Native
aNLFRx,Lithobates pipiens,Northern Leopard Frog,58695,Lithobates pipiens,Northern Leopard Frog,LC,decreasing,Native
aNOSAx,Ambystoma gracile,Northwestern Salamander,59057,Ambystoma gracile,Northwestern Salamander,LC,stable,Native
aNPTRx,Pseudacris regilla,Northern Pacific Treefrog,55897,Pseudacris regilla,Pacific Treefrog,LC,stable,Native
aNRLFx,Rana aurora,Northern Red-legged Frog,58553,Rana aurora,Northern Red-legged Frog,LC,decreasing,Native
aNRSAx,Plethodon electromorphus,Northern Ravine Salamander,59338,Plethodon electromorphus,Northern Ravine Salamander,LC,stable,Native
aNRWAx,Necturus lewisi,Neuse River Waterdog,59432,Necturus lewisi,Neuse River Waterdog,NT,decreasing,Native
aNSSAx,Plethodon glutinosus,Northern Slimy Salamander,59340,Plethodon glutinosus,Slimy Salamander,LC,stable,Native
aNTLSx,Eurycea bislineata,Northern Two-lined Salamander,59261,Eurycea bislineata,Northern Two-lined Salamander,LC,stable,Native
aNZSAx,Plethodon dorsalis,Northern Zigzag Salamander,59336,Plethodon dorsalis,Northern Zigzag Salamander,LC,stable,Native
aOATOx,Anaxyrus quercicus,Oak Toad,54743,Anaxyrus quercicus,Oak Toad,LC,stable,Native
aOCFRx,Pseudacris ornata,Ornate Chorus Frog,55896,Pseudacris ornata,Ornate Chorus Frog,LC,stable,Native
aOCSAx,Desmognathus ocoee,Ocoee Salamander,59254,Desmognathus ocoee,Ocoee Salamander,LC,stable,Native
aODSAx,Desmognathus brimleyorum,Ouachita Dusky Salamander,59246,Desmognathus brimleyorum,Ouachita Dusky Salamander,LC,stable,Native
aOKSAx,Eurycea tynerensis,Oklahoma Salamander,59277,Eurycea tynerensis,Oklahoma Salamander,NT,decreasing,Native
aORFRx,Rana pretiosa,Oregon Spotted Frog,19179,Rana pretiosa,Oregon Spotted Frog,VU,decreasing,Native
aOSSAx,Batrachoseps wrightorum,Oregon Slender Salamander,59134,Batrachoseps wrighti,Oregon Slender Salamander,VU,decreasing,Native
aOTAMx,Amphiuma pholeter,One-toed Amphiuma,59075,Amphiuma pholeter,One-toed Amphiuma,NT,decreasing,Native
aOTSAx,Rhyacotriton olympicus,Olympic Torrent Salamander,59437,Rhyacotriton olympicus,Olympic Torrent Salamander,VU,decreasing,Native
aOZSAx,Plethodon angusticlavius,Ozark Zigzag Salamander,59331,Plethodon angusticlavius,Ozark Zigzag Salamander,LC,stable,Native
aPBTRx,Hyla andersonii,Pine Barrens Treefrog,10350,Dryophytes andersonii,Pine Barrens Treefrog,NT,decreasing,Native
aPIFRx,Lithobates palustris,Pickerel Frog,58690,Lithobates palustris,Pickerel Frog,LC,stable,Native
aPIGFx,Lithobates grylio,Pig Frog,58611,Lithobates grylio,Pig Frog,LC,decreasing,Native
aPLFRx,Lithobates blairi,Plains Leopard Frog,58562,Lithobates blairi,Plains Leopard Frog,LC,decreasing,Native
aPLSPx,Spea bombifrons,Plains Spadefoot,59044,Spea bombifrons,Plains Spadefoot,LC,stable,Native
aPMSAx,Plethodon petraeus,Pigeon Mountain Salamander,59350,Plethodon petraeus,Pigeon Mountain Salamander,VU,stable,Native
aPOSAx,Plethodon hubrichti,Peaks Of Otter Salamander,17632,Plethodon hubrichti,Peaks Of Otter Salamander,VU,unknown,Native
aPWTRx,Hyla femoralis,Pine Woods Treefrog,55481,Dryophytes femoralis,Pine Wood Treefrog,LC,stable,Native
aPYSAx,Desmognathus wrighti,Pygmy Salamander,59259,Desmognathus wrighti,Pygmy Salamander,LC,stable,Native
aRBNEx,Taricha rivularis,Red-bellied Newt,59470,Taricha rivularis,Redbelly Newt,LC,stable,Native
aRCSAx,Plethodon jordani,Red-cheeked Salamander,59343,Plethodon jordani,Red-cheeked Salamander,NT,stable,Native
aRESAx,Pseudotriton ruber,Red Salamander,59404,Pseudotriton ruber,Red Salamander,LC,stable,Native
aRFSAx,Ambystoma bishopi,Reticulated Flatwoods Salamander,136128,Ambystoma bishopi,Reticulated Flatwoods Salamander,VU,decreasing,Native
aRGCFx,Eleutherodactylus cystignathoides,Rio Grande Chirping Frog,56547,Eleutherodactylus cystignathoides,Rio Grande Chirping Frog,LC,stable,Native
aRGLFx,Lithobates berlandieri,Rio Grande Leopard Frog,58561,Lithobates berlandieri,Rio Grande Leopard Frog,LC,stable,Native
aRHSAx,Phaeognathus hubrichti,Red Hills Salamander,16801,Phaeognathus hubrichti,Red Hills Salamander,EN,decreasing,Native
aRIFRx,Lithobates heckscheri,River Frog,58614,Lithobates heckscheri,River Frog,LC,stable,Native
aRISAx,Ambystoma annulatum,Ringed Salamander,59052,Ambystoma annulatum,Ringed Salamander,LC,stable,Native
aRLFRx,Lithobates onca,Relict Leopard Frog,19178,Lithobates onca,Relict Leopard Frog,EN,decreasing,Native
aRLSAx,Plethodon shermani,Red-legged Salamander,59355,Plethodon shermani,Red-legged Salamander,VU,stable,Native
aRMSAx,Plethodon ouachitae,Rich Mountain Salamander,17633,Plethodon ouachitae,Rich Mountain Salamander,NT,stable,Native
aROTFx,Ascaphus montanus,Rocky Mountain Tailed Frog,54413,Ascaphus montanus,Rocky Mountain Tailed Frog,LC,unknown,Native
aRSNEx,Taricha granulosa,Rough-skinned Newt,59469,Taricha granulosa,Roughskin Newt,LC,stable,Native
aRSSAx,Batrachoseps relictus,Relictual Slender Salamander,2650,Batrachoseps relictus,Relictual Slender Salamander,DD,unknown,Native
aRSTOx,Anaxyrus punctatus,Red-spotted Toad,54739,Anaxyrus punctatus,Baird's Spotted Toad,LC,stable,Native
aSADSx,Desmognathus santeetlah,Santeetlah Dusky Salamander,59257,Desmognathus santeetlah,Santeetlah Dusky Salamander,LC,stable,Native
aSASAx,Eurycea chisholmensis,Salado Salamander,59263,Eurycea chisholmensis,Chisholm Trail Salamander,VU,unknown,Native
aSCFRx,Acris gryllus,Southern Cricket Frog,55287,Acris gryllus,Southern Cricket Frog,LC,stable,Native
aSCSAx,Plethodon asupak,Scott Bar Salamander,61904,Plethodon asupak,Scottbar Salamander,VU,unknown,Native
aSDSAx,Plethodon shenandoah,Shenandoah Salamander,17629,Plethodon shenandoah,Shenandoah Salamander,VU,stable,Native
aSDSIx,Pseudobranchus axanthus,Southern Dwarf Siren,59489,Pseudobranchus axanthus,Narrow-striped Dwarf Siren,LC,,Native
aSEASx,Desmognathus monticola,Seal Salamander,59252,Desmognathus monticola,Seal Salamander,LC,stable,Native
aSEESx,Desmognathus aeneus,Seepage Salamander,59243,Desmognathus aeneus,Seepage Salamander,NT,decreasing,Native
aSENEx,Taricha sierrea,Sierra Newt,136023,Taricha sierra,Sierra Newt,LC,unknown,Native
aSGCSx,Plethodon metcalfi,Southern Gray-cheeked Salamander,59348,Plethodon metcalfi,Southern Gray-cheeked Salamander,LC,stable,Native
aSGSSx,Batrachoseps gabrieli,San Gabriel Mountains Slender Salamander,59122,Batrachoseps gabrieli,San Gabriel Slender Salamander,DD,unknown,Native
aSGTOx,Anaxyrus retiformis,Sonoran Green Toad,3173,Anaxyrus retiformis,Sonoran Green Toad ,LC,stable,Native
aSHFRx,Hypopachus variolosus,Sheep Frog,57832,Hypopachus variolosus,Mexican Narrow-mouthed Toad,LC,stable,Native
aSHMSx,Plethodon virginia,Shenandoah Mountain Salamander,59360,Plethodon virginia,Shenandoah Mountain Salamander,NT,unknown,Native
aSHSAx,Hydromantes shastae,Shasta Salamander,10305,Hydromantes shastae,Shasta Salamander,VU,stable,Native
aSLFRx,Lithobates sphenocephalus,Southern Leopard Frog,58723,Lithobates sphenocephalus,Southern Leopard Frog,LC,stable,Native
aSMFRx,Rana muscosa,Southern Mountain Yellow-legged Frog,19177,Rana muscosa,Southern Mountain Yellow-legged Frog,EN,decreasing,Native
aSMGSx,Plethodon meridianus,South Mountain Gray-cheeked Salamander,59347,Plethodon meridianus,South Mountain Gray-cheeked Salamander,VU,stable,Native
aSMMSx,Ambystoma texanum,Small-mouthed Salamander,59071,Ambystoma texanum,Smallmouth Salamander,LC,stable,Native
aSMSAx,Eurycea nana,San Marcos Salamander,8391,Eurycea nana,San Marcos Salamander,VU,stable,Native
aSMSSx,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander,59127,Batrachoseps luciae,Santa Lucia Mountains Slender Salamander,LC,stable,Native
aSMTSx,Aneides hardii,Sacramento Mountains Salamander,59117,Aneides hardii,Sacramento Mountain Salamander,LC,stable,Native
aSNSAx,Desmognathus marmoratus,Shovel-nosed Salamander,59251,Desmognathus marmoratus,Shovelnose Salamander,LC,stable,Native
aSOASx,Plethodon teyahalee,Southern Appalachian Salamander,59356,Plethodon teyahalee,Southern Appalachian Salamander,LC,stable,Native
aSODSx,Desmognathus auriculatus,Southern Dusky Salamander,59245,Desmognathus auriculatus,Southern Dusky Salamander,LC,stable,Native
